"Mineral Name","Mineral Name (plain)","IMA Chemistry (concise)","Valence Elements"
"Melliniite","Melliniite","(Ni,Fe)_4_P","Ni Fe P"
"Mellite","Mellite","Al_2_C_6_(COO)_6_·16H_2_O","Al C O H"
"Mellizinkalite","Mellizinkalite","K_3_Zn_2_Cl_7_","K Zn^2+ Cl"
"Melonite","Melonite","NiTe_2_","Ni Te"
"Mélonjosephite","Melonjosephite","CaFe^2+^Fe^3+^(PO_4_)_2_(OH)","Ca Fe^2+ Fe^3+ P O H"
"Menchettiite","Menchettiite","Pb_5_Mn_3_Ag_2_Sb_6_As_4_S_24_","Pb^2+ Mn^2+ Ag^1+ Sb^3+ As^3+ S^2-"
"Mendeleevite-(Ce)","Mendeleevite-(Ce)","Cs_6_(Ce,REE,Ca)_30_(Si_70_O_175_)(OH,F,H_2_O)_35_","Cs^1+ Ce^3+ Ca Si O H F"
"Mendeleevite-(Nd)","Mendeleevite-(Nd)","Cs_6_(Nd,REE,Ca)_30_(Si_70_O_175_)(OH,F,H_2_O)_35_","Cs^1+ Nd^3+ Ca Si O H F"
"Mendigite","Mendigite","Mn_2_Mn_2_MnCa(Si_3_O_9_)_2_","Mn^2+ Ca Si O"
"Mendipite","Mendipite","Pb_3_O_2_Cl_2_","Pb^2+ O Cl"
"Mendozavilite-KCa","Mendozavilite-KCa","[K_2_(H_2_O)_15_Ca(H_2_O)_6_][Mo_8_P_2_Fe^3+^_3_O_34_(OH)_3_]","K H O Ca Mo^6+ P Fe^3+"
"Mendozavilite-NaCu","Mendozavilite-NaCu","[Na_2_(H_2_O)_15_Cu(H_2_O)_6_][Mo_8_P_2_Fe^3+^_3_O_34_(OH)_3_]","Na H O Cu^2+ Mo^6+ P Fe^3+"
"Mendozavilite-NaFe","Mendozavilite-NaFe","[Na_2_(H_2_O)_15_Fe^3+^(H_2_O)_6_][Mo_8_P_2_Fe^3+^_3_O_35_(OH)_2_]","Na H O Fe^3+ Mo^6+ P"
"Mendozite","Mendozite","NaAl(SO_4_)_2_·11H_2_O","Na Al S^6+ O H"
"Meneghinite","Meneghinite","Pb_13_CuSb_7_S_24_","Pb^2+ Cu^1+ Sb^3+ S^2-"
"Menezesite","Menezesite","Ba_3_MgZr_4_Nb_12_O_42_·12H_2_O","Ba Mg Zr^4+ Nb^5+ O H"
"Mengeite","Mengeite","Ba(Mg,Mn^2+^)Mn^3+^_4_(PO_4_)_4_(OH)_4_·4H_2_O","Ba Mg Mn^2+ Mn^3+ P O H"
"Mengxianminite","Mengxianminite","Ca_2_Sn_2_Mg_3_Al_8_[(BO_3_)(BeO_4_)O_6_]_2_","Ca Sn^4+ Mg Al B O Be"
"Meniaylovite","Meniaylovite","Ca_4_AlSi(SO_4_)F_13_·12H_2_O","Ca Al Si S^6+ O F H"
"Menshikovite","Menshikovite","Pd_3_Ni_2_As_3_","Pd Ni As"
"Menzerite-(Y)","Menzerite-(Y)","(CaY_2_)Mg_2_(SiO_4_)_3_","Ca Y^3+ Mg Si O"
"Mercallite","Mercallite","KH(SO_4_)","K H S^6+ O"
"Mercury","Mercury","Hg","Hg"
"Mereheadite","Mereheadite","Pb_47_O_24_(OH)_13_Cl_25_(BO_3_)_2_(CO_3_)","Pb^2+ O H Cl B C"
"Mereiterite","Mereiterite","K_2_Fe^2+^(SO_4_)_2_·4H_2_O","K Fe^2+ S^6+ O H"
"Merelaniite","Merelaniite","Pb_4_Mo_4_VSbS_15_","Pb^2+ Mo^4+ V^3+ Sb^3+ S^2-"
"Merenskyite","Merenskyite","PdTe_2_","Pd Te"
"Meridianiite","Meridianiite","Mg(SO_4_)·11H_2_O","Mg S^6+ O H"
"Merlinoite","Merlinoite","K_5_Ca_2_(Si_23_Al_9_)O_64_·24H_2_O","K Ca Si Al O H"
"Merrihueite","Merrihueite","(K,Na)_2_(Fe^2+^,Mg)_5_Si_12_O_30_","K Na Fe^2+ Mg Si O"
"Merrillite","Merrillite","Ca_9_NaMg(PO_4_)_7_","Ca Na Mg P O"
"Mertieite-I","Mertieite-I","Pd_5+x_(Sb,As)_2-x_ (x = 0.1-0.2)","Pd Sb As"
"Mertieite-II","Mertieite-II","Pd_8_Sb_2.5_As_0.5_","Pd Sb As"
"Merwinite","Merwinite","Ca_3_Mg(SiO_4_)_2_","Ca Mg Si O"
"Mesaite","Mesaite","CaMn^2+^_5_(V_2_O_7_)_3_·12H_2_O","Ca Mn^2+ V^5+ O H"
"Mesolite","Mesolite","Na_2_Ca_2_(Si_9_Al_6_)O_30_·8H_2_O","Na Ca Si Al O H"
"Messelite","Messelite","Ca_2_Fe^2+^(PO_4_)_2_·2H_2_O","Ca Fe^2+ P O H"
"Meta-aluminite","Meta-aluminite","Al_2_(SO_4_)(OH)_4_·5H_2_O","Al S^6+ O H"
"Meta-alunogen","Meta-alunogen","Al_2_(SO_4_)_3_·14H_2_O","Al S^6+ O H"
"Meta-ankoleite","Meta-ankoleite","K(UO_2_)(PO_4_)·3H_2_O","K U^6+ O P H"
"Meta-autunite","Meta-autunite","Ca(UO_2_)_2_(PO_4_)_2_·6H_2_O","Ca U^6+ O P H"
"Metaborite","Metaborite","HBO_2_","H B O"
"Metacalciouranoite","Metacalciouranoite","(Ca,Na,Ba)U_2_O_7_·2H_2_O","Ca Na Ba U^6+ O H"
"Metacinnabar","Metacinnabar","HgS","Hg^2+ S^2-"
"Metadelrioite","Metadelrioite","SrCa(VO_3_)_2_(OH)_2_","Sr Ca V^5+ O H"
"Metahaiweeite","Metahaiweeite","Ca(UO_2_)_2_Si_6_O_15_·nH_2_O","Ca U^6+ O Si H"
"Metaheinrichite","Metaheinrichite","Ba(UO_2_)_2_(AsO_4_)_2_·8H_2_O","Ba U^6+ O As^5+ H"
"Metahewettite","Metahewettite","CaV^5+^_6_O_16_·3H_2_O","Ca V^5+ O H"
"Metahohmannite","Metahohmannite","Fe^3+^_2_O(SO_4_)_2_·4H_2_O","Fe^3+ O S^6+ H"
"Metakahlerite","Metakahlerite","Fe^2+^(UO_2_)_2_(AsO_4_)_2_·8H_2_O","Fe^2+ U^6+ O As^5+ H"
"Metakirchheimerite","Metakirchheimerite","Co(UO_2_)_2_(AsO_4_)_2_·8H_2_O","Co^2+ U^6+ O As^5+ H"
"Metaköttigite","Metakottigite","(Zn,Fe^3+^)_3_(AsO_4_)_2_·8(H_2_O,OH)","Zn^2+ Fe^3+ As^5+ O H"
"Metalodèvite","Metalodevite","Zn(UO_2_)_2_(AsO_4_)_2_·10H_2_O","Zn^2+ U^6+ O As^5+ H"
"Metamunirite","Metamunirite","NaV^5+^O_3_","Na V^5+ O"
"Metanatroautunite","Metanatroautunite","Na(UO_2_)(PO_4_)·3H_2_O","Na U^6+ O P H"
"Metanováčekite","Metanovacekite","Mg(UO_2_)_2_(AsO_4_)_2_·8H_2_O","Mg U^6+ O As^5+ H"
"Metarauchite","Metarauchite","Ni(UO_2_)_2_(AsO_4_)_2_·8H_2_O","Ni^2+ U^6+ O As^5+ H"
"Metarossite","Metarossite","CaV^5+^_2_O_6_·2H_2_O","Ca V^5+ O H"
"Metasaléeite","Metasaleeite","Mg(UO_2_)_2_(PO_4_)_2_·8H_2_O","Mg U^6+ O P H"
"Metaschoderite","Metaschoderite","Al(PO_4_)·3H_2_O","Al P O H"
"Metaschoepite","Metaschoepite","(UO_2_)_8_O_2_(OH)_12_·10H_2_O","U^6+ O H"
"Metasideronatrite","Metasideronatrite","Na_2_Fe^3+^(SO_4_)_2_(OH)·H_2_O","Na Fe^3+ S^6+ O H"
"Metastibnite","Metastibnite","Sb_2_S_3_","Sb^3+ S^2-"
"Metastudtite","Metastudtite","UO_4_·2H_2_O","U^6+ O H"
"Metaswitzerite","Metaswitzerite","Mn^2+^_3_(PO_4_)_2_·4H_2_O","Mn^2+ P O H"
"Metatamboite","Metatamboite","Fe^3+^_3_(OH)(H_2_O)_2_(SO_4_)(Te^4+^O_3_)_3_[Te^4+^O(OH)_2_](H_2_O)","Fe^3+ O H S^6+ Te^4+"
"Metathénardite","Metathenardite","Na_2_(SO_4_)","Na S^6+ O"
"Metatorbernite","Metatorbernite","Cu(UO_2_)_2_(PO_4_)_2_·8H_2_O","Cu^2+ U^6+ O P H"
"Metatyuyamunite","Metatyuyamunite","Ca(UO_2_)_2_(VO_4_)_2_·3H_2_O","Ca U^6+ O V^5+ H"
"Metauramphite","Metauramphite","(NH_4_)_2_(UO_2_)_2_(PO_4_)_2_·6H_2_O","N^3- H U^6+ O P"
"Metauranocircite-I","Metauranocircite-I","Ba(UO_2_)_2_(PO_4_)_2_·6H_2_O","Ba U^6+ O P H"
"Metauranopilite","Metauranopilite","(UO_2_)_6_(SO_4_)(OH)_10_·5H_2_O","U^6+ O S^6+ H"
"Metauranospinite","Metauranospinite","Ca(UO_2_)_2_(AsO_4_)_2_·8H_2_O","Ca U^6+ O As^5+ H"
"Metauroxite","Metauroxite","(UO_2_)_2_(C_2_O_4_)(OH)_2_(H_2_O)_2_","U^6+ O C H"
"Metavandendriesscheite","Metavandendriesscheite","PbU_7_O_22_·nH_2_O","Pb^2+ U^6+ O H"
"Metavanmeersscheite","Metavanmeersscheite","U(UO_2_)_3_(PO_4_)_2_(OH)_6_·2H_2_O","U^6+ O P H"
"Metavanuralite","Metavanuralite","Al(UO_2_)_2_(VO_4_)_2_(OH)·8H_2_O","Al U^6+ O V^5+ H"
"Metavariscite","Metavariscite","Al(PO_4_)·2H_2_O","Al P O H"
"Metavauxite","Metavauxite","Fe^2+^Al_2_(PO_4_)_2_(OH)_2_·8H_2_O","Fe^2+ Al P O H"
"Metavivianite","Metavivianite","Fe^2+^Fe^3+^_2_(PO_4_)_2_(OH)_2_·6H_2_O","Fe^2+ Fe^3+ P O H"
"Metavoltine","Metavoltine","K_2_Na_6_Fe^2+^Fe^3+^_6_O_2_(SO_4_)_12_·18H_2_O","K Na Fe^2+ Fe^3+ O S^6+ H"
"Metazellerite","Metazellerite","Ca(UO_2_)(CO_3_)_2_·3H_2_O","Ca U^6+ O C H"
"Metazeunerite","Metazeunerite","Cu(UO_2_)_2_(AsO_4_)_2_·8H_2_O","Cu^2+ U^6+ O As^5+ H"
"Meurigite-K","Meurigite-K","KFe^3+^_8_(PO_4_)_6_(OH)_7_·6.5H_2_O","K H O Fe^3+ P"
"Meurigite-Na","Meurigite-Na","[Na(H_2_O)_2.5_][Fe^3+^_8_(PO_4_)_6_(OH)_7_(H_2_O)_4_]","Na H O Fe^3+ P"
"Meyerhofferite","Meyerhofferite","CaB_3_O_3_(OH)_5_·H_2_O","Ca B O H"
"Meymacite","Meymacite","WO_3_·2H_2_O","W^6+ O H"
"Meyrowitzite","Meyrowitzite","Ca(UO_2_)(CO_3_)_2_·5H_2_O","Ca U^6+ O C H"
"Mgriite","Mgriite","Cu_3_AsSe_3_","Cu As Se"
"Mianningite","Mianningite","([box],Pb,Ce,Na)(U^4+^,Mn,U^6+^)Fe^3+^_2_(Ti,Fe^3+^)_18_O_38_","Pb^2+ Ce^3+ Na U^4+ Mn^2+ U^6+ Fe^3+ Ti^4+ O"
"Miargyrite","Miargyrite","AgSbS_2_","Ag^1+ Sb^3+ S^2-"
"Miassite","Miassite","Rh_17_S_15_","Rh S"
"Michalskiite","Michalskiite","Cu^2+^Mg_3_Fe^3+^_3.33_(VO_4_)_6_","Cu^2+ Mg Fe^3+ V^5+ O"
"Micheelsenite","Micheelsenite","(Ca,Y)_3_Al(PO_3_OH)(CO_3_)(OH)_6_·12H_2_O","Ca Y Al P O H C"
"Michenerite","Michenerite","PdBiTe","Pd Bi Te"
"Michitoshiite-(Cu)","Michitoshiite-(Cu)","Rh(Cu_1-x_Ge_x_) 0<x≤0.5","Rh Cu Ge"
"Microcline","Microcline","K(AlSi_3_O_8_)","K Al Si O"
"Microsommite","Microsommite","[(Na,K)_6_(SO_4_)][Ca_2_Cl_2_][(Si_6_Al_6_O_24_)]","Na K S^6+ O Ca Cl Si Al"
"Middendorfite","Middendorfite","K_3_Na_2_Mn_5_Si_12_(O,OH)_36_·2H_2_O","K Na Mn^2+ Si O H"
"Middlebackite","Middlebackite","Cu_2_C_2_O_4_(OH)_2_","Cu^2+ C O H"
"Mieite-(Y)","Mieite-(Y)","Y_4_Ti(SiO_4_)_2_O[F,(OH)]_6_","Y^3+ Ti^4+ Si O F H"
"Miersite","Miersite","AgI","Ag^1+ I^1-"
"Miessiite","Miessiite","Pd_11_Te_2_Se_2_","Pd Te Se"
"Miguelromeroite","Miguelromeroite","Mn_5_(AsO_3_OH)_2_(AsO_4_)_2_(H_2_O)_4_","Mn^2+ As^5+ O H"
"Miharaite","Miharaite","PbCu_4_FeBiS_6_","Pb^2+ Cu^1+ Fe^3+ Bi^3+ S^2-"
"Mikasaite","Mikasaite","Fe^3+^_2_(SO_4_)_3_","Fe^3+ S^6+ O"
"Mikecoxite","Mikecoxite","[CHg_4_]OCl_2_","C Hg O Cl"
"Mikehowardite","Mikehowardite","Fe^3+^_4_(V^5+^O_4_)_4_(H_2_O)_2_·H_2_O","Fe^3+ V^5+ O H"
"Milanriederite","Milanriederite","(Ca,REE)_19_Fe^3+^Al_4_(Mg,Al,Fe^3+^)_8_Si_18_O_68_(OH,O)_10_","Ca Fe^3+ Al Mg Si O H"
"Milarite","Milarite","KCa_2_(Be_2_AlSi_12_)O_30_·H_2_O","K Ca Be Al Si O H"
"Milkovoite","Milkovoite","Cu_4_O(PO_4_)(AsO_4_)","Cu^2+ O P As^5+"
"Millerite","Millerite","NiS","Ni S"
"Millisite","Millisite","NaCaAl_6_(PO_4_)_4_(OH)_9_·3H_2_O","Na Ca Al P O H"
"Millosevichite","Millosevichite","Al_2_(SO_4_)_3_","Al S^6+ O"
"Millsite","Millsite","CuTeO_3_·2H_2_O","Cu^2+ Te^4+ O H"
"Milotaite","Milotaite","PdSbSe","Pd Sb Se"
"Mimetite","Mimetite","Pb_5_(AsO_4_)_3_Cl","Pb^2+ As^5+ O Cl"
"Minakawaite","Minakawaite","RhSb","Rh Sb"
"Minasgeraisite-(Y)","Minasgeraisite-(Y)","CaBe_2_Y_2_Si_2_O_10_","Ca Be Y Si O"
"Minasragrite","Minasragrite","V^4+^O(SO_4_)·5H_2_O","V^4+ O S^6+ H"
"Mineevite-(Y)","Mineevite-(Y)","Na_25_BaY_2_(CO_3_)_11_(HCO_3_)_4_(SO_4_)_2_F_2_Cl","Na Ba Y C O H S^6+ F Cl"
"Minehillite","Minehillite","(K,Na)_2_Ca_28_Zn_5_Al_4_Si_40_O_112_(OH)_16_","K Na Ca Zn^2+ Al Si O H"
"Minguzzite","Minguzzite","K_3_Fe^3+^(C_2_O_4_)_3_·3H_2_O","K Fe^3+ C O H"
"Minium","Minium","Pb^2+^_2_Pb^4+^O_4_","Pb^2+ Pb^4+ O"
"Minjiangite","Minjiangite","BaBe_2_(PO_4_)_2_","Ba Be P O"
"Minnesotaite","Minnesotaite","Fe^2+^_3_Si_4_O_10_(OH)_2_","Fe^2+ Si O H"
"Minohlite","Minohlite","(Cu,Zn)_7_(SO_4_)_2_(OH)_10_·8H_2_O","Cu^2+ Zn^2+ S^6+ O H"
"Minrecordite","Minrecordite","CaZn(CO_3_)_2_","Ca Zn^2+ C O"
"Minyulite","Minyulite","KAl_2_(PO_4_)_2_F·4H_2_O","K Al P O F H"
"Mirabilite","Mirabilite","Na_2_(SO_4_)·10H_2_O","Na S^6+ O H"
"Mirnyite","Mirnyite","SrZr^4+^(Ti^4+^_12_Cr^3+^_6_)Mg_2_O_38_","Sr Zr^4+ Ti^4+ Cr^3+ Mg O"
"Misakiite","Misakiite","Cu_3_Mn(OH)_6_Cl_2_","Cu^2+ Mn^2+ O H Cl"
"Misenite","Misenite","K_8_(SO_4_)(SO_3_OH)_6_","K S^6+ O H"
"Miserite","Miserite","K_1.5-x_(Ca,Y,REE)_5_[Si_6_O_15_][Si_2_O_7_](OH,F)_2_·yH_2_O","K Ca Y REE Si O H F"
"Mitridatite","Mitridatite","Ca_2_Fe^3+^_3_O_2_(PO_4_)_3_·3H_2_O","Ca Fe^3+ O P H"
"Mitrofanovite","Mitrofanovite","Pt_3_Te_4_","Pt Te"
"Mitryaevaite","Mitryaevaite","Al_5_(PO_4_)_2_[(P,S)O_3_(OH,O)]_2_F_2_(OH)_2_·14.5H_2_O","Al P O S^6+ H F"
"Mitscherlichite","Mitscherlichite","K_2_CuCl_4_·2H_2_O","K Cu^2+ Cl H O"
"Mixite","Mixite","Cu_6_Bi(AsO_4_)_3_(OH)_6_·3H_2_O","Cu^2+ Bi^3+ As^5+ O H"
"Miyahisaite","Miyahisaite","(Sr,Ca)_2_Ba_3_(PO_4_)_3_F","Sr Ca Ba P O F"
"Moabite","Moabite","NiFe^3+^(PO_4_)O","Ni^2+ Fe^3+ P O"
"Moctezumite","Moctezumite","Pb(UO_2_)(Te^4+^O_3_)_2_","Pb^2+ U^6+ O Te^4+"
"Modderite","Modderite","CoAs","Co As"
"Moëloite","Moeloite","Pb_6_Sb_6_S_14_(S)_3_","Pb^2+ Sb^3+ S^2- S"
"Mogánite","Moganite","SiO_2_·<i>n</i>H_2_O","Si O H"
"Mogovidite","Mogovidite","Na_9_(Ca,Na)_12_Fe_2_Zr_3_Si_25_O_72_(CO_3_)(OH)_4_","Na Ca Fe^3+ Zr^4+ Si O C H"
"Mohite","Mohite","Cu_2_SnS_3_","Cu Sn S"
"Möhnite","Mohnite","(NH_4_)K_2_Na(SO_4_)_2_","N^3- H K Na S^6+ O"
"Mohrite","Mohrite","(NH_4_)_2_Fe^2+^(SO_4_)_2_·6H_2_O","N^3- H Fe^2+ S^6+ O"
"Moissanite","Moissanite","SiC","Si C"
"Mojaveite","Mojaveite","Cu_6_[Te^6+^O_4_(OH)_2_](OH)_7_Cl","Cu^2+ Te^6+ O H Cl"
"Molinelloite","Molinelloite","Cu(H_2_O)(OH)V^4+^O(V^5+^O_4_)","Cu^2+ H O V^4+ V^5+"
"Moluranite","Moluranite","H_4_U^4+^(UO_2_)_3_(MoO_4_)_7_·18H_2_O","H U^4+ U^6+ O Mo^6+"
"Molybdenite","Molybdenite","MoS_2_","Mo^4+ S^2-"
"Molybdite","Molybdite","MoO_3_","Mo^6+ O"
"Molybdofornacite","Molybdofornacite","CuPb_2_(MoO_4_)(AsO_4_)(OH)","Cu^2+ Pb^2+ Mo^6+ O As^5+ H"
"Molybdomenite","Molybdomenite","PbSe^4+^O_3_","Pb^2+ Se^4+ O"
"Molybdophyllite","Molybdophyllite","Pb_8_Mg_9_[Si_10_O_28_(OH)_8_O_2_(CO_3_)_3_]·H_2_O","Pb^2+ Mg Si O H C"
"Molysite","Molysite","FeCl_3_","Fe^3+ Cl"
"Momoiite","Momoiite","Mn^2+^_3_V^3+^_2_(SiO_4_)_3_","Mn^2+ V^3+ Si O"
"Monazite-(Ce)","Monazite-(Ce)","Ce(PO_4_)","Ce P O"
"Monazite-(La)","Monazite-(La)","La(PO_4_)","La P O"
"Monazite-(Nd)","Monazite-(Nd)","Nd(PO_4_)","Nd P O"
"Monazite-(Sm)","Monazite-(Sm)","Sm(PO_4_)","Sm P O"
"Moncheite","Moncheite","Pt(Te,Bi)_2_","Pt Te Bi"
"Monchetundraite","Monchetundraite","Pd_2_NiTe_2_","Pd Ni Te"
"Monetite","Monetite","Ca(PO_3_OH)","Ca P O H"
"Mongolite","Mongolite","Ca_4_Nb_6_Si_5_O_24_(OH)_10_·6H_2_O","Ca Nb^5+ Si O H"
"Monimolite","Monimolite","Pb_2_Sb^5+^_2_O_7_","Pb^2+ Sb^5+ O"
"Monipite","Monipite","MoNiP","Mo Ni P"
"Monohydrocalcite","Monohydrocalcite","Ca(CO_3_)·H_2_O","Ca C O H"
"Montanite","Montanite","Bi^3+^_2_Te^6+^O_6_·<i>n</i>H_2_O (0 ≤ <i>n</i> ≤ 2/3)","Bi^3+ Te^6+ O H"
"Montbrayite","Montbrayite","(Au,Ag,Sb,Bi,Pb)_23_(Te,Sb,Bi,Pb)_38_","Au Ag Sb Bi Pb Te"
"Montdorite","Montdorite","KFe^2+^_1.5_Mn^2+^_0.5_Mg_0.5_Si_4_O_10_(F,OH)_2_","K Fe^2+ Mn^2+ Mg Si O F H"
"Montebrasite","Montebrasite","LiAl(PO_4_)(OH)","Li Al P O H"
"Monteneroite","Monteneroite","Cu^2+^Mn^2+^_2_(AsO_4_)_2_·8H_2_O","Cu^2+ Mn^2+ As^5+ O H"
"Monteneveite","Monteneveite","Ca_3_Sb^5+^_2_(Fe^3+^_2_Fe^2+^)O_12_","Ca Sb^5+ Fe^3+ Fe^2+ O"
"Monteponite","Monteponite","CdO","Cd^2+ O"
"Monteregianite-(Y)","Monteregianite-(Y)","KNa_2_YSi_8_O_19_·5H_2_O","K Na Y Si O H"
"Montesommaite","Montesommaite","K_9_(Si_23_Al_9_)O_64_·10H_2_O","K Si Al O H"
"Montetrisaite","Montetrisaite","Cu_6_(SO_4_)(OH)_10_·2H_2_O","Cu^2+ S^6+ O H"
"Montgomeryite","Montgomeryite","Ca_4_MgAl_4_(PO_4_)_6_(OH)_4_·12H_2_O","Ca Mg Al P O H"
"Monticellite","Monticellite","CaMg(SiO_4_)","Ca Mg Si O"
"Montmorillonite","Montmorillonite","(Na,Ca)_0.3_(Al,Mg)_2_Si_4_O_10_(OH)_2_·nH_2_O","Na Ca Al Mg Si O H"
"Montroseite","Montroseite","(V^3+^,Fe^2+^,V^4+^)O(OH)","V^3+ Fe^2+ V^4+ O H"
"Montroyalite","Montroyalite","Sr_4_Al_8_(CO_3_)_3_(OH)_26_·10H_2_O","Sr Al C O H"
"Montroydite","Montroydite","HgO","Hg^2+ O"
"Mooihoekite","Mooihoekite","Cu_9_Fe_9_S_16_","Cu Fe S"
"Moolooite","Moolooite","Cu(C_2_O_4_)·nH_2_O","Cu^2+ C O H"
"Mooreite","Mooreite","Mg_15_(SO_4_)_2_(OH)_26_·8H_2_O","Mg S^6+ O H"
"Moorhouseite","Moorhouseite","Co(SO_4_)·6H_2_O","Co^2+ S^6+ O H"
"Mopungite","Mopungite","NaSb^5+^(OH)_6_","Na Sb^5+ O H"
"Moraesite","Moraesite","Be_2_(PO_4_)(OH)·4H_2_O","Be P O H"
"Moraskoite","Moraskoite","Na_2_Mg(PO_4_)F","Na Mg P O F"
"Mordenite","Mordenite","(Na_2_,Ca,K_2_)_4_(Al_8_Si_40_)O_96_·28H_2_O","Na Ca K Al Si O H"
"Moreauite","Moreauite","Al_3_(UO_2_)(PO_4_)_3_(OH)_2_·13H_2_O","Al U^6+ O P H"
"Morelandite","Morelandite","Ca_2_Ba_3_(AsO_4_)_3_Cl","Ca Ba As^5+ O Cl"
"Morenosite","Morenosite","Ni(SO_4_)·7H_2_O","Ni^2+ S^6+ O H"
"Morimotoite","Morimotoite","Ca_3_(TiFe^2+^)(SiO_4_)_3_","Ca Ti^4+ Fe^2+ Si O"
"Morinite","Morinite","NaCa_2_Al_2_(PO_4_)_2_(OH)F_4_·2H_2_O","Na Ca Al P O H F"
"Morozeviczite","Morozeviczite","Pb_3_Ge_1-x_S_4_","Pb Ge S"
"Morrisonite","Morrisonite","Ca_11_(As^3+^V^4+^_2_V^5+^_10_As^5+^_6_O_51_)_2_·78H_2_O","Ca As^3+ V^4+ V^5+ As^5+ O H"
"Mosandrite-(Ce)","Mosandrite-(Ce)","(Ca_3_REE)[(H_2_O)_2_Ca_0.5_[box]_0.5_]Ti(Si_2_O_7_)_2_(OH)_2_(H_2_O)_2_","Ca Ce^3+ H O Ti^4+ Si"
"Moschelite","Moschelite","HgI","Hg^1+ I^1-"
"Moschellandsbergite","Moschellandsbergite","Ag_2_Hg_3_","Ag Hg"
"Mosesite","Mosesite","(Hg_2_N)Cl","Hg^2+ N^3- Cl"
"Moskvinite-(Y)","Moskvinite-(Y)","Na_2_KYSi_6_O_15_","Na K Y Si O"
"Mössbauerite","Mossbauerite","Fe^3+^_6_O_4_(OH)_8_(CO_3_)·3H_2_O","Fe^3+ O H C"
"Mottanaite-(Ce)","Mottanaite-(Ce)","Ca_4_Ce_2_Al(Be_1.5_[box]_0.5_)_Σ2_[B_4_Si_4_O_22_]O_2_","Ca Ce Al Be B Si O"
"Mottramite","Mottramite","PbCu(VO_4_)(OH)","Pb^2+ Cu^2+ V^5+ O H"
"Motukoreaite","Motukoreaite","Mg_6_Al_3_(OH)_18_[Na(H_2_O)_6_](SO_4_)_2_·6H_2_O","Mg Al O H Na S^6+"
"Mounanaite","Mounanaite","PbFe^3+^_2_(VO_4_)_2_(OH)_2_","Pb^2+ Fe^3+ V^5+ O H"
"Mountainite","Mountainite","KNa_2_Ca_2_[Si_8_O_19_(OH)]·6H_2_O","K Na Ca Si O H"
"Mountkeithite","Mountkeithite","(Mg_1-x_Fe^3+^_x_)(SO_4_)_x/2_(OH)_2_·nH_2_O (x < 0.5, n > 3x/2)","Mg Fe^3+ S^6+ O H"
"Mourite","Mourite","(UO_2_)(Mo^6+^)_5_O_16_·5H_2_O","U^6+ O Mo^6+ H"
"Moxuanxueite","Moxuanxueite","NaCa_6_Zr(Si_2_O_7_)_2_OF_3_","Na Ca Zr^4+ Si O F"
"Moydite-(Y)","Moydite-(Y)","YB(OH)_4_(CO_3_)","Y B O H C"
"Mozartite","Mozartite","CaMn^3+^(SiO_4_)(OH)","Ca Mn^3+ Si O H"
"Mozgovaite","Mozgovaite","PbBi_4_S_7_","Pb^2+ Bi^3+ S^2-"
"Mpororoite","Mpororoite","Al_2_O(WO_4_)_2_·6H_2_O","Al O W^6+ H"
"Mrázekite","Mrazekite","Bi_2_Cu_3_(PO_4_)_2_O_2_(OH)_2_·2H_2_O","Bi^3+ Cu^2+ P O H"
"Mroseite","Mroseite","CaTe^4+^O_2_(CO_3_)","Ca Te^4+ O C"
"Mückeite","Muckeite","CuNiBiS_3_","Cu^1+ Ni^2+ Bi^3+ S^2-"
"Muirite","Muirite","Ba_10_Ca_2_Mn^2+^TiSi_10_O_30_(OH,Cl,F)_10_","Ba Ca Mn^2+ Ti^4+ Si O H"
"Mukhinite","Mukhinite","Ca_2_(Al_2_V^3+^)[Si_2_O_7_][SiO_4_]O(OH)","Ca Al V^3+ Si O H"
"Müllerite","Mullerite","Pb_2_Fe^3+^(Te^6+^O_6_)Cl","Pb^2+ Fe^3+ Te^6+ O Cl"
"Mullite","Mullite","Al_4+2x_Si_2-2x_O_10-x_ (x ≈ 0.4)","Al Si O"
"Mummeite","Mummeite","Cu_0.58_Ag_3.11_Pb_1.10_Bi_6.65_S_13_","Cu^1+ Ag^1+ Pb^2+ Bi^3+ S^2-"
"Munakataite","Munakataite","Pb_2_Cu_2_(Se^4+^O_3_)(SO_4_)(OH)_4_","Pb^2+ Cu^2+ Se^4+ O S^6+ H"
"Mundite","Mundite","Al(UO_2_)_3_(PO_4_)_2_(OH)_3_·5.5H_2_O","Al U^6+ O P H"
"Mundrabillaite","Mundrabillaite","(NH_4_)_2_Ca(PO_3_OH)_2_·H_2_O","N^3- H Ca P O"
"Munirite","Munirite","NaV^5+^O_3_·1.9H_2_O","Na V^5+ O H"
"Muonionalustaite","Muonionalustaite","Ni_3_(OH)_4_Cl_2_·4H_2_O","Ni^2+ O H Cl"
"Murakamiite","Murakamiite","Ca_2_LiSi_3_O_8_(OH)","Ca Li Si O H"
"Murashkoite","Murashkoite","FeP","Fe P"
"Murataite-(Y)","Murataite-(Y)","(Y,Na)_6_Zn(Zn,Fe^3+^)_4_(Ti,Nb,Na)_12_O_29_(O,F,OH)_10_F_4_","Y^3+ Na Zn^2+ Fe^3+ Ti^4+ Nb^5+ O F H"
"Murchisite","Murchisite","Cr_5_S_6_","Cr S"
"Murdochite","Murdochite","Cu_12_Pb_2_O_15_Cl_2_","Cu^2+ Pb^4+ O Cl"
