"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Chemistry Elements"
"Lomonosovite","Lomonosovite","Na6Na2Ti2Na2Ti2(Si2O7)2(PO4)2O4","Na Ti Si O P"
"Londonite","Londonite","CsBe4Al4(B11Be)O28","Cs Be Al B O"
"Lonecreekite","Lonecreekite","(NH4)Fe3+(SO4)2·12H2O","N H Fe S O"
"Lonsdaleite","Lonsdaleite","C","C"
"Loomisite","Loomisite","Ba[Be2P2O8]·H2O","Ba Be P O H"
"Loparite-(Ce)","Loparite-(Ce)","(Na,Ce,Sr)(Ce,Th)(Ti,Nb)2O6","Na Ce Sr Th Ti Nb O"
"Lopatkaite","Lopatkaite","Pb5Sb3AsS11","Pb Sb As S"
"Lópezite","Lopezite","K2Cr2O7","K Cr O"
"Lorándite","Lorandite","TlAsS2","Tl As S"
"Loranskite-(Y)","Loranskite-(Y)","(Y,Ce,Ca)(Zr,Ta)2O6 (?)","Y Ce Ca Zr Ta O"
"Lorenzenite","Lorenzenite","Na2Ti2O3(Si2O6)","Na Ti O Si"
"Loseyite","Loseyite","Mn2+4Zn3(CO3)2(OH)10","Mn Zn C O H"
"Lotharmeyerite","Lotharmeyerite","CaZn2(AsO4)2·2H2O","Ca Zn As O H"
"Loudounite","Loudounite","NaCa5Zr4Si16O40(OH)11·8H2O","Na Ca Zr Si O H"
"Loughlinite","Loughlinite","Na2Mg3Si6O16·8H2O","Na Mg Si O H"
"Lourenswalsite","Lourenswalsite","(K,Ba)2Ti4(Si,Al)6O14(OH)12","K Ba Ti Si Al O H"
"Lovdarite","Lovdarite","K2Na6Be4Si14O36·9H2O","K Na Be Si O H"
"Loveringite","Loveringite","(Ca,Ce,La)(Zr,Fe)(Mg,Fe)2(Ti,Fe,Cr,Al)18O38","Ca Ce La Zr Fe Mg Ti Cr Al O"
"Lovozerite","Lovozerite","Na3CaZrSi6O15(OH)3","Na Ca Zr Si O H"
"Löweite","Loweite","Na12Mg7(SO4)13·15H2O","Na Mg S O H"
"Luanheite","Luanheite","Ag3Hg","Ag Hg"
"Luanshiweiite","Luanshiweiite","KLiAl1.5(Si3.5Al0.5)O10(OH)2","K Li Al Si O H"
"Luberoite","Luberoite","Pt5Se4","Pt Se"
"Luboržákite","Luborzakite","Mn2AsSbS5","Mn As Sb S"
"Lucabindiite","Lucabindiite","(K,NH4)As4O6(Cl,Br)","K N H As O Cl Br"
"Lucasite-(Ce)","Lucasite-(Ce)","CeTi2O5(OH)","Ce Ti O H"
"Lucchesiite","Lucchesiite","CaFe2+3Al6(Si6O18)(BO3)3(OH)3O","Ca Fe Al Si O B H"
"Luddenite","Luddenite","Cu2Pb2Si5O14·14H2O","Cu Pb Si O H"
"Ludjibaite","Ludjibaite","Cu5(PO4)2(OH)4","Cu P O H"
"Ludlamite","Ludlamite","Fe2+3(PO4)2·4H2O","Fe P O H"
"Ludlockite","Ludlockite","PbFe3+4As3+10O22","Pb Fe As O"
"Ludwigite","Ludwigite","Mg2Fe3+O2(BO3)","Mg Fe O B"
"Lueshite","Lueshite","NaNbO3","Na Nb O"
"Luetheite","Luetheite","CuAl(AsO4)(OH)2","Cu Al As O H"
"Luinaite-(OH)","Luinaite-(OH)","(Na,[box])(Fe2+,Mg)3Al6(BO3)3Si6O18(OH)4","Na Fe Mg Al B O Si H"
"Lukechangite-(Ce)","Lukechangite-(Ce)","Na3Ce2(CO3)4F","Na Ce C O F"
"Lukkulaisvaaraite","Lukkulaisvaaraite","Pd14Ag2Te9","Pd Ag Te"
"Lukrahnite","Lukrahnite","CaCuFe3+(AsO4)2(OH,H2O)2","Ca Cu Fe As O H"
"Lulzacite","Lulzacite","Sr2Fe2+3Al4(PO4)4(OH)10","Sr Fe Al P O H"
"Lumsdenite","Lumsdenite","NaCa3Mg2(As3+V4+2V5+10As5+6O51)·45H2O","Na Ca Mg As V O H"
"Lüneburgite","Luneburgite","Mg3[B2(OH)6(PO4)2]·6H2O","Mg B O H P"
"Lunijianlaite","Lunijianlaite","Li0.7Al6.2(Si7Al)O20(OH,O)10","Li Al Si O H"
"Lun'okite","Lunokite","MgMn2+Al(PO4)2(OH)·4H2O","Mg Mn Al P O H"
"Luobusaite","Luobusaite","Fe0.84Si2","Fe Si"
"Luogufengite","Luogufengite","Fe2O3","Fe O"
"Lusernaite-(Y)","Lusernaite-(Y)","Y4Al(CO3)2(OH,F)11·6H2O","Y Al C O H F"
"Lussierite","Lussierite","Na10[(UO2)(SO4)4](SO4)2(H2O)3","Na U O S H"
"Luxembourgite","Luxembourgite","AgCuPbBi4Se8","Ag Cu Pb Bi Se"
"Luzonite","Luzonite","Cu3AsS4","Cu As S"
"Lyonsite","Lyonsite","Cu2+3Fe3+4(VO4)6","Cu Fe V O"
"Macaulayite","Macaulayite","Fe3+24Si4O43(OH)2","Fe Si O H"
"Macdonaldite","Macdonaldite","BaCa4Si16O36(OH)2·10H2O","Ba Ca Si O H"
"Macedonite","Macedonite","PbTiO3","Pb Ti O"
"Macfallite","Macfallite","Ca2Mn3+3(SiO4)(Si2O7)(OH)3","Ca Mn Si O H"
"Machatschkiite","Machatschkiite","Ca6(AsO4)(AsO3OH)3(PO4)·15H2O","Ca As O H P"
"Machiite","Machiite","Al2Ti3O9","Al Ti O"
"Mackayite","Mackayite","Fe3+Te4+2O5(OH)","Fe Te O H"
"Mackinawite","Mackinawite","(Fe,Ni)1+xS (x = 0-0.07)","Fe Ni S"
"Macphersonite","Macphersonite","Pb4(SO4)(CO3)2(OH)2","Pb S O C H"
"Macquartite","Macquartite","Cu2Pb7(CrO4)4(SiO4)2(OH)2","Cu Pb Cr O Si H"
"Madeiraite","Madeiraite","Na2Ca2Fe2Zr2(Si2O7)2O2F2","Na Ca Fe Zr Si O F"
"Madocite","Madocite","Pb19(Sb,As)16S43","Pb Sb As S"
"Magadiite","Magadiite","Na2Si14O29·11H2O","Na Si O H"
"Magbasite","Magbasite","KBaFe3+Mg7Si8O22(OH)2F6","K Ba Fe Mg Si O H F"
"Magganasite","Magganasite","CuFe3+3O(AsO4)3","Cu Fe O As"
"Maghagendorfite","Maghagendorfite","Na2MgFe2+Fe3+(PO4)3","Na Mg Fe P O"
"Maghemite","Maghemite","(Fe3+0.67[box]0.33)Fe3+2O4","Fe O"
"Maghrebite","Maghrebite","MgAl2(AsO4)2(OH)2·8H2O","Mg Al As O H"
"Magnanelliite","Magnanelliite","K3Fe3+2(SO4)4(OH)(H2O)2","K Fe S O H"
"Magnéliite","Magneliite","Ti3+2Ti4+2O7","Ti O"
"Magnesioalterite","Magnesioalterite","Mg2Fe3+4(SO4)4(C2O4)2(OH)4·17H2O","Mg Fe S O C H"
"Magnesio-arfvedsonite","Magnesio-arfvedsonite","NaNa2(Mg4Fe3+)Si8O22(OH)2","Na Mg Fe Si O H"
"Magnesioaubertite","Magnesioaubertite","MgAl(SO4)2Cl·14H2O","Mg Al S O Cl H"
"Magnesiobeltrandoite-2<i>N</i>3<i>S</i>","Magnesiobeltrandoite-2N3S","(Mg6Al2)(Al18Fe3+2)O38(OH)2","Mg Al Fe O H"
"Magnesiobermanite","Magnesiobermanite","MgMn3+2(PO4)2(OH)2·4H2O","Mg Mn P O H"
"Magnesiocanutite","Magnesiocanutite","Na[box]MnMg2[AsO4]2[AsO2(OH)2]","Na Mn Mg As O H"
"Magnesiocarpholite","Magnesiocarpholite","MgAl2Si2O6(OH)4","Mg Al Si O H"
"Magnesiochloritoid","Magnesiochloritoid","MgAl2O(SiO4)(OH)2","Mg Al O Si H"
"Magnesiochlorophoenicite","Magnesiochlorophoenicite","Mg3Zn2(AsO4)(OH,O)6","Mg Zn As O H"
"Magnesiochromite","Magnesiochromite","MgCr2O4","Mg Cr O"
"Magnesiocopiapite","Magnesiocopiapite","MgFe3+4(SO4)6(OH)2·20H2O","Mg Fe S O H"
"Magnesiocoulsonite","Magnesiocoulsonite","MgV2O4","Mg V O"
"Magnesiodumortierite","Magnesiodumortierite","MgAl6BSi3O17(OH)","Mg Al B Si O H"
"Magnesio-ferri-fluoro-hornblende","Magnesio-ferri-fluoro-hornblende","[box]Ca2(Mg4Fe3+)(Si7Al)O22F2","Ca Mg Fe Si Al O F"
"Magnesio-ferri-hornblende","Magnesio-ferri-hornblende","Ca2(Mg4Fe3+)[(Si7Al)O22](OH)2","Ca Mg Fe Si Al O H"
"Magnesioferrite","Magnesioferrite","MgFe3+2O4","Mg Fe O"
"Magnesiofluckite","Magnesiofluckite","CaMg(AsO3OH)2(H2O)2","Ca Mg As O H"
"Magnesio-fluoro-arfvedsonite","Magnesio-fluoro-arfvedsonite","NaNa2(Mg4Fe3+)Si8O22F2","Na Mg Fe Si O F"
"Magnesio-fluoro-hastingsite","Magnesio-fluoro-hastingsite","NaCa2(Mg4Fe3+)(Si6Al2)O22F2","Na Ca Mg Fe Si Al O F"
"Magnesio-foitite","Magnesio-foitite","[box](Mg2Al)Al6(Si6O18)(BO3)3(OH)3(OH)","Mg Al Si O B H"
"Magnesio-hastingsite","Magnesio-hastingsite","NaCa2(Mg4Fe3+)(Si6Al2)O22(OH)2","Na Ca Mg Fe Si Al O H"
"Magnesiohatertite","Magnesiohatertite","NaNaCa(MgFe3+)(AsO4)3","Na Ca Mg Fe As O"
"Magnesiohögbomite-2<i>N</i>2S","Magnesiohogbomite-2N2S","(Mg,Fe,Al,Ti)22(O,OH)32","Mg Fe Al Ti O H"
"Magnesiohögbomite-2<i>N</i>3S","Magnesiohogbomite-2N3S","(Mg,Fe,Zn,Ti)4(Al,Fe)10O19(OH)","Mg Fe Zn Ti Al O H"
"Magnesiohögbomite-2<i>N</i>4S","Magnesiohogbomite-2N4S","[(Mg8.43Fe2+1.57)Σ=10Al22Ti4+2O46(OH)2]","Mg Fe Al Ti O H"
"Magnesiohögbomite-6<i>N</i>12<i>S</i>","Magnesiohogbomite-6N12S","Mg5Al11TiO23(OH)","Mg Al Ti O H"
"Magnesiohögbomite-6<i>N</i>6S","Magnesiohogbomite-6N6S","(Mg,Al,Fe)3(Al,Ti)8O15(OH)","Mg Al Fe Ti O H"
"Magnesio-hornblende","Magnesio-hornblende","[box]Ca2(Mg4Al)(Si7Al)O22(OH)2","Ca Mg Al Si O H"
"Magnesiohulsite","Magnesiohulsite","Mg2Fe3+O2(BO3)","Mg Fe O B"
"Magnesiokoritnigite","Magnesiokoritnigite","Mg(AsO3OH)·H2O","Mg As O H"
"Magnesioleydetite","Magnesioleydetite","Mg(UO2)(SO4)2·11H2O","Mg U O S H"
"Magnesio-lucchesiite","Magnesio-lucchesiite","CaMg3Al6(Si6O18)(BO3)3(OH)3O","Ca Mg Al Si O B H"
"Magnesioneptunite","Magnesioneptunite","KNa2Li(Mg,Fe)2Ti2Si8O24","K Na Li Mg Fe Ti Si O"
"Magnesionigerite-2<i>N</i>1S","Magnesionigerite-2N1S","(Mg,Al,Zn)2(Al,Sn)6O11(OH)","Mg Al Zn Sn O H"
"Magnesionigerite-6<i>N</i>6S","Magnesionigerite-6N6S","(Mg,Al,Zn)3(Al,Sn,Fe)8O15(OH)","Mg Al Zn Sn Fe O H"
"Magnesiopascoite","Magnesiopascoite","Ca2MgV5+10O28·16H2O","Ca Mg V O H"
"Magnesio-riebeckite","Magnesio-riebeckite","[box]Na2(Mg3Fe3+2)Si8O22(OH)2","Na Mg Fe Si O H"
"Magnesiorowlandite-(Y)","Magnesiorowlandite-(Y)","Y4(Mg,Fe)(Si2O7)2F2","Y Mg Fe Si O F"
"Magnesiosadanagaite","Magnesiosadanagaite","NaCa2[Mg3(Fe3+,Al)2](Si5Al3)O22(OH)2","Na Ca Mg Fe Al Si O H"
"Magnesiostaurolite","Magnesiostaurolite","Mg(Mg,Li)3(Al,Mg)18Si8O44(OH)4","Mg Li Al Si O H"
"Magnesiotaaffeite-2<i>N</i>'2S","Magnesiotaaffeite-2N2S","Mg3BeAl8O16","Mg Be Al O"
"Magnesiotaaffeite-6<i>N</i>'3S","Magnesiotaaffeite-6N3S","Mg2BeAl6O12","Mg Be Al O"
"Magnesiotaramite","Magnesiotaramite","NaNaCa(Mg3AlFe3+)(Si6Al2)O22(OH)2","Na Ca Mg Al Fe Si O H"
"Magnesiovesuvianite","Magnesiovesuvianite","Ca19Mg(Al11Mg)Si18O69(OH)9","Ca Mg Al Si O H"
"Magnesiovoltaite","Magnesiovoltaite","K2Mg5Fe3+3Al(SO4)12·18H2O","K Mg Fe Al S O H"
"Magnesiozippeite","Magnesiozippeite","Mg(UO2)2(SO4)O2·3.5H2O","Mg U O S H"
"Magnesite","Magnesite","Mg(CO3)","Mg C O"
"Magnetite","Magnetite","Fe2+Fe3+2O4","Fe O"
"Magnetoplumbite","Magnetoplumbite","PbFe3+12O19","Pb Fe O"
"Magnioursilite","Magnioursilite","Mg4(UO2)4(Si2O5)5(OH)6·20H2O","Mg U O Si H"
"Magnolite","Magnolite","Hg1+2(Te4+O3)","Hg Te O"
"Magnussonite","Magnussonite","Mn2+10As3+6O18(OH,Cl)2","Mn As O H Cl"
"Mahnertite","Mahnertite","(Na,Ca,K)Cu3(AsO4)2Cl·5H2O","Na Ca K Cu As O Cl H"
"Maikainite","Maikainite","Cu10Fe3MoGe3S16","Cu Fe Mo Ge S"
"Majakite","Majakite","PdNiAs","Pd Ni As"
"Majindeite","Majindeite","Mg2Mo3O8","Mg Mo O"
"Majorite","Majorite","Mg3(MgSi)(SiO4)3","Mg Si O"
"Majzlanite","Majzlanite","K2Na(ZnNa)Ca(SO4)4","K Na Zn Ca S O"
"Makarochkinite","Makarochkinite","Ca4[Fe2+8Fe3+2Ti2]O4[Si8Be2Al2O36]","Ca Fe Ti O Si Be Al"
"Makatite","Makatite","Na2Si4O8(OH)2·4H2O","Na Si O H"
"Mäkinenite","Makinenite","NiSe","Ni Se"
"Makotoite","Makotoite","Ag12(Cu3Au)S8","Ag Cu Au S"
"Makovickyite","Makovickyite","Cu1.12Ag0.81Pb0.27Bi5.35S9","Cu Ag Pb Bi S"
"Malachite","Malachite","Cu2(CO3)(OH)2","Cu C O H"
"Malanite","Malanite","Cu1+(Ir3+Pt4+)S4","Cu Ir Pt S"
"Malayaite","Malayaite","CaSnO(SiO4)","Ca Sn O Si"
"Maldonite","Maldonite","Au2Bi","Au Bi"
"Maleevite","Maleevite","BaB2Si2O8","Ba B Si O"
"Maletoyvayamite","Maletoyvayamite","Au3Se4Te6","Au Se Te"
"Malhmoodite","Malhmoodite","Fe2+Zr(PO4)2·4H2O","Fe Zr P O H"
"Malinkoite","Malinkoite","NaBSiO4","Na B Si O"
"Malladrite","Malladrite","Na2SiF6","Na Si F"
"Mallardite","Mallardite","Mn(SO4)·7H2O","Mn S O H"
"Mallestigite","Mallestigite","Pb3Sb(SO4)(AsO4)(OH)6·3H2O","Pb Sb S O As H"
"Malyshevite","Malyshevite","PdCuBiS3","Pd Cu Bi S"
"Mambertiite","Mambertiite","BiMo5+2.8O8(OH)","Bi Mo O H"
"Mammothite","Mammothite","Pb6Cu4AlSb5+O2(SO4)2Cl4(OH)16","Pb Cu Al Sb O S Cl H"
"Manaevite-(Ce)","Manaevite-(Ce)","Ca11(Ce,H2O,Ca)8Mg(Al,Fe)4(Mg,Ti,Fe3+)8[Si2O7]4[(SiO4)8(H4O4)2](OH)9","Ca Ce H O Mg Al Fe Ti Si"
"Manaksite","Manaksite","KNaMn2+Si4O10","K Na Mn Si O"
"Manandonite","Manandonite","Li2Al4(Si2AlB)O10(OH)8","Li Al Si B O H"
"Manasseite","Manasseite","Mg6Al2CO3(OH)16·4H2O","Mg Al C O H"
"Mandarinoite","Mandarinoite","Fe3+2(Se4+O3)3·6H2O","Fe Se O H"
"Maneckiite","Maneckiite","(Na[box])Ca2Fe2+2(Fe3+Mg)Mn2(PO4)6·2H2O","Na Ca Fe Mg Mn P O H"
"Manganarsite","Manganarsite","Mn2+3As3+2O4(OH)4","Mn As O H"
"Manganbabingtonite","Manganbabingtonite","Ca2Mn2+Fe3+Si5O14(OH)","Ca Mn Fe Si O H"
"Manganbelyankinite","Manganbelyankinite","Mn2+(Ti,Nb)5O12·9H2O","Mn Ti Nb O H"
"Manganberzeliite","Manganberzeliite","(NaCa2)Mn2+2(AsO4)3","Na Ca Mn As O"
"Manganese","Manganese","Mn","Mn"
"Manganflurlite","Manganflurlite","ZnMn2+3Fe3+(PO4)3(OH)2(H2O)7·2H2O","Zn Mn Fe P O H"
"Mangangordonite","Mangangordonite","Mn2+Al2(PO4)2(OH)2·8H2O","Mn Al P O H"
"Manganhumite","Manganhumite","Mn2+7(SiO4)3(OH)2","Mn Si O H"
"Manganiakasakaite-(La)","Manganiakasakaite-(La)","CaLa(Mn3+AlMn2+)(Si2O7)(SiO4)O(OH)","Ca La Mn Al Si O H"
"Manganiandrosite-(Ce)","Manganiandrosite-(Ce)","MnCe(Mn3+AlMn2+)[Si2O7][SiO4]O(OH)","Mn Ce Al Si O H"
"Manganiandrosite-(La)","Manganiandrosite-(La)","MnLa(Mn3+AlMn2+)[Si2O7][SiO4]O(OH)","Mn La Al Si O H"
"Manganiceladonite","Manganiceladonite","KMgMn3+Si4O10(OH)2","K Mg Mn Si O H"
"Mangani-dellaventuraite","Mangani-dellaventuraite","NaNa2(MgMn3+2Ti4+Li)Si8O22O2","Na Mg Mn Ti Li Si O"
"Manganilvaite","Manganilvaite","CaFe2+Fe3+Mn2+(Si2O7)O(OH)","Ca Fe Mn Si O H"
"Mangani-obertiite","Mangani-obertiite","NaNa2(Mg3Mn3+Ti4+)Si8O22O2","Na Mg Mn Ti Si O"
"Mangani-pargasite","Mangani-pargasite","NaCa2(Mg4Mn3+)(Si6Al2)O22(OH)2","Na Ca Mg Mn Si Al O H"
"Manganite","Manganite","Mn3+O(OH)","Mn O H"
"Manganlotharmeyerite","Manganlotharmeyerite","CaMn3+2(AsO4)2(OH)2","Ca Mn As O H"
"Manganoarrojadite-(KNa)","Manganoarrojadite-(KNa)","KNa5MnFe13Al(PO4)11(PO3OH)(OH)2","K Na Mn Fe Al P O H"
"Manganobadalovite","Manganobadalovite","NaNaMn(MgFe3+)(AsO4)3","Na Mn Mg Fe As O"
"Manganoblödite","Manganoblodite","Na2Mn(SO4)2·4H2O","Na Mn S O H"
"Manganochromite","Manganochromite","Mn2+Cr2O4","Mn Cr O"
"Manganocummingtonite","Manganocummingtonite","[box]Mn2Mg5Si8O22(OH)2","Mn Mg Si O H"
"Manganoeudialyte","Manganoeudialyte","Na14Ca6Mn3Zr3[Si26O72(OH)2](H2O,Cl,O,OH)6","Na Ca Mn Zr Si O H Cl"
"Mangano-ferri-eckermannite","Mangano-ferri-eckermannite","NaNa2(Mn2+4Fe3+)Si8O22(OH)2","Na Mn Fe Si O H"
"Manganogrunerite","Manganogrunerite","[box]Mn2Fe2+5Si8O22(OH)2","Mn Fe Si O H"
"Manganohörnesite","Manganohornesite","Mn2+3(AsO4)2·8H2O","Mn As O H"
"Manganokaskasite","Manganokaskasite","(Mo,Nb)S2·(Mn1-xAlx)(OH)2+x","Mo Nb S Mn Al O H"
"Manganokhomyakovite","Manganokhomyakovite","Na12Sr3Ca6Mn3Zr3W(Si25O73)(O,OH,H2O)3(Cl,OH)2","Na Sr Ca Mn Zr W Si O H Cl"
"Manganokukisvumite","Manganokukisvumite","Na6MnTi4Si8O28·4H2O","Na Mn Ti Si O H"
"Manganolangbeinite","Manganolangbeinite","K2Mn2+2(SO4)3","K Mn S O"
"Mangano-mangani-ungarettiite","Mangano-mangani-ungarettiite","NaNa2(Mn2+2Mn3+3)Si8O22O2","Na Mn Si O"
"Manganonaujakasite","Manganonaujakasite","Na6Mn2+Al4Si8O26","Na Mn Al Si O"
"Manganoneptunite","Manganoneptunite","KNa2LiMn2+2Ti2Si8O24","K Na Li Mn Ti Si O"
"Manganonordite-(Ce)","Manganonordite-(Ce)","Na3SrCeMn2+Si6O17","Na Sr Ce Mn Si O"
"Manganoquadratite","Manganoquadratite","AgMnAsS3","Ag Mn As S"
"Manganosegelerite","Manganosegelerite","Mn2+2Fe3+(PO4)2(OH)·4H2O","Mn Fe P O H"
"Manganoshadlunite","Manganoshadlunite","(Fe,Cu)8(Mn,Pb)S8","Fe Cu Mn Pb S"
"Manganosite","Manganosite","MnO","Mn O"
"Manganostibite","Manganostibite","Mn2+7Sb5+As5+O12","Mn Sb As O"
"Manganotychite","Manganotychite","Na6Mn2+2(CO3)4(SO4)","Na Mn C O S"
"Manganvesuvianite","Manganvesuvianite","Ca19Mn3+Al10Mg2(SiO4)10(Si2O7)4O(OH)9","Ca Mn Al Mg Si O H"
"Mangazeite","Mangazeite","Al2(SO4)(OH)4·3H2O","Al S O H"
"Manitobaite","Manitobaite","Na16Mn2+25Al8(PO4)30","Na Mn Al P O"
"Manjiroite","Manjiroite","Na(Mn4+7Mn3+)O16","Na Mn O"
"Mannardite","Mannardite","Ba(Ti6V3+2)O16","Ba Ti V O"
"Mansfieldite","Mansfieldite","Al(AsO4)·2H2O","Al As O H"
"Mantienneite","Mantienneite","KMg2Al2Ti(PO4)4(OH)3·15H2O","K Mg Al Ti P O H"
"Maohokite","Maohokite","MgFe2O4","Mg Fe O"
"Maoniupingite-(Ce)","Maoniupingite-(Ce)","(Ce,Ca)4(Fe3+,Ti,Fe2+,[box])(Ti,Fe3+,Fe2+,Nb)4Si4O22","Ce Ca Fe Ti Nb Si O"
"Mapimite","Mapimite","Zn2Fe3+3(AsO4)3(OH)4·10H2O","Zn Fe As O H"
"Mapiquiroite","Mapiquiroite","(Sr,Pb)(U,Y)Fe2(Ti,Fe3+)18O38","Sr Pb U Y Fe Ti O"
"Marathonite","Marathonite","Pd25Ge9","Pd Ge"
"Marcasite","Marcasite","FeS2","Fe S"
"Marchettiite","Marchettiite","C5H7N5O3","C H N O"
"Marcobaldiite","Marcobaldiite","Pb12(Sb3As2Bi)Σ6S21","Pb Sb As Bi S"
"Marécottite","Marecottite","Mg3O6(UO2)8(SO4)4(OH)2·28H2O","Mg O U S H"
"Margaritasite","Margaritasite","Cs2(UO2)2(VO4)2·H2O","Cs U O V H"
"Margarite","Margarite","CaAl2Si2Al2O10(OH)2","Ca Al Si O H"
"Margarosanite","Margarosanite","Ca2PbSi3O9","Ca Pb Si O"
"Mariakrite","Mariakrite","[Ca4Al2(OH)12(H2O)4][Fe2S4]","Ca Al O H Fe S"
"Marialite","Marialite","Na4Al3Si9O24Cl","Na Al Si O Cl"
"Marianoite","Marianoite","Na2Ca4(Nb,Zr)2(Si2O7)2(O,F)4","Na Ca Nb Zr Si O F"
"Marićite","Maricite","NaFe2+(PO4)","Na Fe P O"
"Maricopaite","Maricopaite","Ca2Pb7(Si36Al12)O99·n(H2O,OH)","Ca Pb Si Al O H"
"Mariinskite","Mariinskite","BeCr2O4","Be Cr O"
"Marinaite","Marinaite","Cu2Fe3+O2(BO3)","Cu Fe O B"
"Marinellite","Marinellite","Na42Ca6Al36Si36O144(SO4)8Cl2·6H2O","Na Ca Al Si O S Cl H"
"Markascherite","Markascherite","Cu3(MoO4)(OH)4","Cu Mo O H"
"Markcooperite","Markcooperite","Pb2(UO2)TeO6","Pb U O Te"
"Markeyite","Markeyite","Ca9(UO2)4(CO3)13·28H2O","Ca U O C H"
"Markhininite","Markhininite","TlBi(SO4)2","Tl Bi S O"
"Marklite","Marklite","Cu5(CO3)2(OH)6·6H2O","Cu C O H"
"Marokite","Marokite","CaMn3+2O4","Ca Mn O"
"Marrite","Marrite","AgPbAsS3","Ag Pb As S"
"Marrucciite","Marrucciite","Hg3Pb16Sb18S46","Hg Pb Sb S"
"Marshite","Marshite","CuI","Cu I"
"Marsturite","Marsturite","NaCaMn2+3Si5O14(OH)","Na Ca Mn Si O H"
"Marthozite","Marthozite","Cu2+(UO2)3(Se4+O3)2O2·8H2O","Cu U O Se H"
"Martinandresite","Martinandresite","Ba2(Al4Si12O32)·10H2O","Ba Al Si O H"
"Martinite","Martinite","(Na,[box],Ca)12Ca4(Si,S,B)14B2O38(OH,Cl)2F2·4H2O","Na Ca Si S B O H Cl F"
"Martyite","Martyite","Zn3V2O7(OH)2·2H2O","Zn V O H"
"Marumoite","Marumoite","Pb32As40S92","Pb As S"
"Maruyamaite","Maruyamaite","K(MgAl2)(Al5Mg)(BO3)3(Si6O18)(OH)3O","K Mg Al B O Si H"
"Mascagnite","Mascagnite","(NH4)2(SO4)","N H S O"
"Maslovite","Maslovite","PtBiTe","Pt Bi Te"
"Massicot","Massicot","PbO","Pb O"
"Masutomilite","Masutomilite","KLiAlMn2+(Si3Al)O10(F,OH)2","K Li Al Mn Si O F H"
"Masuyite","Masuyite","Pb(UO2)3O3(OH)2·3H2O","Pb U O H"
"Mathesiusite","Mathesiusite","K5(UO2)4(SO4)4(VO5)(H2O)4","K U O S V H"
"Mathewrogersite","Mathewrogersite","Pb7FeAl3GeSi12O36(OH,H2O)6","Pb Fe Al Ge Si O H"
"Mathiasite","Mathiasite","(K,Ba,Sr)(Zr,Fe)(Mg,Fe)2(Ti,Cr,Fe)18O38","K Ba Sr Zr Fe Mg Ti Cr O"
"Matildite","Matildite","AgBiS2","Ag Bi S"
"Matioliite","Matioliite","NaMgAl5(PO4)4(OH)6·2H2O","Na Mg Al P O H"
"Matlockite","Matlockite","PbClF","Pb Cl F"
"Matsubaraite","Matsubaraite","Sr4Ti5O8(Si2O7)2","Sr Ti O Si"
"Mattagamite","Mattagamite","CoTe2","Co Te"
"Matteuccite","Matteuccite","NaH(SO4)·H2O","Na H S O"
"Mattheddleite","Mattheddleite","Pb5(SiO4)1.5(SO4)1.5Cl","Pb Si O S Cl"
"Matthiasweilite","Matthiasweilite","PbTe4+O3","Pb Te O"
"Matulaite","Matulaite","Fe3+Al7(PO4)4(PO3OH)2(OH)8(H2O)8·8H2O","Fe Al P O H"
"Matyhite","Matyhite","Ca9(Ca0.5[box]0.5)Fe2+(PO4)7","Ca Fe P O"
"Maucherite","Maucherite","Ni11As8","Ni As"
"Mauriziodiniite","Mauriziodiniite","(NH4)(As2O3)2I","N H As O I"
"Mavlyanovite","Mavlyanovite","Mn5Si3","Mn Si"
"Mawbyite","Mawbyite","PbFe3+2(AsO4)2(OH)2","Pb Fe As O H"
"Mawsonite","Mawsonite","Cu6Fe2SnS8","Cu Fe Sn S"
"Maxwellite","Maxwellite","NaFe3+(AsO4)F","Na Fe As O F"
"Mayingite","Mayingite","IrBiTe","Ir Bi Te"
"Mazzettiite","Mazzettiite","Ag3HgPbSbTe5","Ag Hg Pb Sb Te"
"Mazzite-Mg","Mazzite-Mg","Mg5(Si26Al10)O72·30H2O","Mg Si Al O H"
"Mazzite-Na","Mazzite-Na","Na8(Si28Al8)O72·30H2O","Na Si Al O H"
"Mbobomkulite","Mbobomkulite","(Ni,Cu)Al4(NO3,SO4)2(OH)12·3H2O","Ni Cu Al N O S H"
"Mcallisterite","Mcallisterite","Mg2[B6O7(OH)6]2·9H2O","Mg B O H"
"Mcalpineite","Mcalpineite","Cu3Te6+O6","Cu Te O"
"Mcauslanite","Mcauslanite","Fe2+3Al2(PO4)3(PO3OH)F·18H2O","Fe Al P O H F"
"Mcbirneyite","Mcbirneyite","Cu3(VO4)2","Cu V O"
"Mcconnellite","Mcconnellite","Cu1+CrO2","Cu Cr O"
"Mccrillisite","Mccrillisite","NaCs(Be,Li)Zr2(PO4)4·1-2H2O","Na Cs Be Li Zr P O H"
"Mcgillite","Mcgillite","Mn2+8Si6O15(OH)8Cl2","Mn Si O H Cl"
"Mcgovernite","Mcgovernite","Zn3(Mn2+,Mg,Fe3+,Al)42(As3+O3)2(As5+O4)4[(Si,As5+)O4]8(OH)42","Zn Mn Mg Fe Al As O Si H"
"Mcguinnessite","Mcguinnessite","CuMg(CO3)(OH)2","Cu Mg C O H"
