"Mineral Name","Mineral Name (plain)","IMA Chemistry (plain)","Chemistry Elements"
"Ardennite-(V)","Ardennite-(V)","Mn2+4Al4(AlMg)(VO4)(SiO4)2(Si3O10)(OH)6","Mn Al Mg V O Si H"
"Arfvedsonite","Arfvedsonite","NaNa2(Fe2+4Fe3+)Si8O22(OH)2","Na Fe Si O H"
"Argandite","Argandite","Mn7(VO4)2(OH)8","Mn V O H"
"Argentobaumhauerite","Argentobaumhauerite","Ag1.5Pb22As33.5S72","Ag Pb As S"
"Argentodufrénoysite","Argentodufrenoysite","Ag3Pb26As35S80","Ag Pb As S"
"Argentojarosite","Argentojarosite","AgFe3+3(SO4)2(OH)6","Ag Fe S O H"
"Argentoliveingite","Argentoliveingite","AgxPb40-2xAs48+xS112 (3 < x < 4)","Ag Pb As S"
"Argentopearceite","Argentopearceite","Ag16As2S11","Ag As S"
"Argentopentlandite","Argentopentlandite","Ag(Fe,Ni)8S8","Ag Fe Ni S"
"Argentopolybasite-<i>T</i>2<i>ac</i>","Argentopolybasite-T2ac","Ag16Sb2S11","Ag Sb S"
"Argentopyrite","Argentopyrite","AgFe2S3","Ag Fe S"
"Argentotennantite-(Zn)","Argentotennantite-(Zn)","Ag6(Cu4Zn2)As4S13","Ag Cu Zn As S"
"Argentotetrahedrite-(Fe)","Argentotetrahedrite-(Fe)","Ag6(Cu4Fe2)Sb4S13","Ag Cu Fe Sb S"
"Argentotetrahedrite-(Hg)","Argentotetrahedrite-(Hg)","Ag6(Cu4Hg2)Sb4S13","Ag Cu Hg Sb S"
"Argentotetrahedrite-(Zn)","Argentotetrahedrite-(Zn)","Ag6(Cu4Zn2)Sb4S13","Ag Cu Zn Sb S"
"Argesite","Argesite","(NH4)7Bi3Cl16","N H Bi Cl"
"Argutite","Argutite","GeO2","Ge O"
"Argyrodite","Argyrodite","Ag8GeS6","Ag Ge S"
"Arhbarite","Arhbarite","Cu2Mg(AsO4)(OH)3","Cu Mg As O H"
"Ariegilatite","Ariegilatite","BaCa12(SiO4)4(PO4)2F2O","Ba Ca Si O P F"
"Arisite-(Ce)","Arisite-(Ce)","NaCe2(CO3)2[F2x(CO3)1-x]F","Na Ce C O F"
"Arisite-(La)","Arisite-(La)","NaLa2(CO3)2[F2x(CO3)1-x]F","Na La C O F"
