Mineral Name,Mineral Name (plain),IMA Chemistry (concise),Chemistry Elements,URL
Sergevanite,Sergevanite,Na_15_(Ca_3_Mn_3_)(Na_2_Fe)Zr_3_Si_26_O_72_(OH)_3_·H_2_O,Na Ca Mn Fe Zr Si O H,https://www.mindat.org/search.php?search=Sergevanite
Sergeysmirnovite,Sergeysmirnovite,MgZn_2_(PO_4_)_2_·4H_2_O,Mg Zn P O H,https://www.mindat.org/search.php?search=Sergeysmirnovite
Serpierite,Serpierite,"Ca(Cu,Zn)_4_(SO_4_)_2_(OH)_6_·3H_2_O",Ca Cu Zn S O H,https://www.mindat.org/search.php?search=Serpierite
Serrabrancaite,Serrabrancaite,Mn(PO_4_)·H_2_O,Mn P O H,https://www.mindat.org/search.php?search=Serrabrancaite
Sewardite,Sewardite,CaFe^3+^_2_(AsO_4_)_2_(OH)_2_,Ca Fe As O H,https://www.mindat.org/search.php?search=Sewardite
Shabaite-(Nd),Shabaite-(Nd),CaNd_2_(UO_2_)(CO_3_)_4_(OH)_2_·6H_2_O,Ca Nd U O C H,https://www.mindat.org/search.php?search=Shabaite-(Nd)
Shabynite,Shabynite,Mg_5_(BO_3_)(OH)_5_Cl_2_·4H_2_O,Mg B O H Cl,https://www.mindat.org/search.php?search=Shabynite
Shadlunite,Shadlunite,"(Fe,Cu)_8_(Pb,Cd)S_8_",Fe Cu Pb Cd S,https://www.mindat.org/search.php?search=Shadlunite
Shafranovskite,Shafranovskite,"Na_3_K_2_(Mn,Fe,Na)_4_[Si_9_(O,OH)_27_](OH)_2_·nH_2_O",Na K Mn Fe Si O H,https://www.mindat.org/search.php?search=Shafranovskite
Shagamite,Shagamite,KFe_11_O_17_,K Fe O,https://www.mindat.org/search.php?search=Shagamite
Shakhdaraite-(Y),Shakhdaraite-(Y),ScYNb_2_O_8_,Sc Y Nb O,https://www.mindat.org/search.php?search=Shakhdaraite-(Y)
Shakhovite,Shakhovite,Hg^1+^_4_Sb^5+^O_3_(OH)_3_,Hg Sb O H,https://www.mindat.org/search.php?search=Shakhovite
Shandite,Shandite,Ni_3_Pb_2_S_2_,Ni Pb S,https://www.mindat.org/search.php?search=Shandite
Shannonite,Shannonite,Pb_2_O(CO_3_),Pb O C,https://www.mindat.org/search.php?search=Shannonite
Sharpite,Sharpite,Ca(UO_2_)_3_(CO_3_)_4_·3H_2_O,Ca U O C H,https://www.mindat.org/search.php?search=Sharpite
Sharyginite,Sharyginite,Ca_3_TiFe_2_O_8_,Ca Ti Fe O,https://www.mindat.org/search.php?search=Sharyginite
Shasuite,Shasuite,CaNi_3_(P_2_O_7_)_2_,Ca Ni P O,https://www.mindat.org/search.php?search=Shasuite
Shattuckite,Shattuckite,Cu_5_(SiO_3_)_4_(OH)_2_,Cu Si O H,https://www.mindat.org/search.php?search=Shattuckite
Shcherbakovite,Shcherbakovite,K_2_NaTi_2_O(OH)Si_4_O_12_,K Na Ti O H Si,https://www.mindat.org/search.php?search=Shcherbakovite
Shcherbinaite,Shcherbinaite,V_2_O_5_,V O,https://www.mindat.org/search.php?search=Shcherbinaite
Shchurovskyite,Shchurovskyite,K_2_CaCu_6_O_2_(AsO_4_)_4_,K Ca Cu O As,https://www.mindat.org/search.php?search=Shchurovskyite
Sheldrickite,Sheldrickite,NaCa_3_(CO_3_)_2_F_3_·H_2_O,Na Ca C O F H,https://www.mindat.org/search.php?search=Sheldrickite
Shenzhuangite,Shenzhuangite,NiFeS_2_,Ni Fe S,https://www.mindat.org/search.php?search=Shenzhuangite
Sherwoodite,Sherwoodite,Ca_4.5_AlV^4+^_2_V^5+^_12_O_40_·28H_2_O,Ca Al V O H,https://www.mindat.org/search.php?search=Sherwoodite
Shibkovite,Shibkovite,K_2_Ca_2_(Zn_3_Si_12_)O_30_,K Ca Zn Si O,https://www.mindat.org/search.php?search=Shibkovite
Shigaite,Shigaite,Mn_6_Al_3_(OH)_18_[Na(H_2_O)_6_](SO_4_)_2_·6H_2_O,Mn Al O H Na S,https://www.mindat.org/search.php?search=Shigaite
Shilovite,Shilovite,Cu(NH_3_)_4_(NO_3_)_2_,Cu N H O,https://www.mindat.org/search.php?search=Shilovite
Shimazakiite,Shimazakiite,Ca_2_B_2_O_5_,Ca B O,https://www.mindat.org/search.php?search=Shimazakiite
Shimenite,Shimenite,Tl_5_Sb_21-y_As_y_S_34_ (9 ≤ y ≤ 10),Tl Sb As S,https://www.mindat.org/search.php?search=Shimenite
Shinarumpite,Shinarumpite,[Co(H_2_O)_6_][(UO_2_)(SO_4_)_2_(H_2_O)]·4H_2_O,Co H O U S,https://www.mindat.org/search.php?search=Shinarumpite
Shinkolobweite,Shinkolobweite,Pb_1.25_[U^5+^(H_2_O)_2_(U^6+^O_2_)_5_O_8_(OH)_2_](H_2_O)_5_,Pb U H O,https://www.mindat.org/search.php?search=Shinkolobweite
Shirokshinite,Shirokshinite,K(Mg_2_Na)Si_4_O_10_F_2_,K Mg Na Si O F,https://www.mindat.org/search.php?search=Shirokshinite
Shirozulite,Shirozulite,KMn^2+^_3_(Si_3_Al)O_10_(OH)_2_,K Mn Si Al O H,https://www.mindat.org/search.php?search=Shirozulite
Shkatulkalite,Shkatulkalite,Na_2_Nb_2_Na_3_Ti(Si_2_O_7_)_2_O_2_(FO)(H_2_O)_4_(H_2_O)_3_,Na Nb Ti Si O F H,https://www.mindat.org/search.php?search=Shkatulkalite
Shlykovite,Shlykovite,KCa[Si_4_O_9_(OH)]·3H_2_O,K Ca Si O H,https://www.mindat.org/search.php?search=Shlykovite
Shomiokite-(Y),Shomiokite-(Y),Na_3_Y(CO_3_)_3_·3H_2_O,Na Y C O H,https://www.mindat.org/search.php?search=Shomiokite-(Y)
Shortite,Shortite,Na_2_Ca_2_(CO_3_)_3_,Na Ca C O,https://www.mindat.org/search.php?search=Shortite
Shosanbetsuite,Shosanbetsuite,Ag_3_Sn,Ag Sn,https://www.mindat.org/search.php?search=Shosanbetsuite
Shuangfengite,Shuangfengite,IrTe_2_,Ir Te,https://www.mindat.org/search.php?search=Shuangfengite
Shubnikovite,Shubnikovite,Ca_2_Cu_8_(AsO_4_)_6_Cl(OH)·7H_2_O (?),Ca Cu As O Cl H,https://www.mindat.org/search.php?search=Shubnikovite
Shuiskite-(Cr),Shuiskite-(Cr),Ca_2_CrCr_2_[SiO_4_][Si_2_O_6_(OH)](OH)_2_O,Ca Cr Si O H,https://www.mindat.org/search.php?search=Shuiskite-(Cr)
Shuiskite-(Mg),Shuiskite-(Mg),Ca_2_MgCr_2_(Si_2_O_7_)(SiO_4_)(OH)_2_·H_2_O,Ca Mg Cr Si O H,https://www.mindat.org/search.php?search=Shuiskite-(Mg)
Shulamitite,Shulamitite,Ca_3_TiFe^3+^AlO_8_,Ca Ti Fe Al O,https://www.mindat.org/search.php?search=Shulamitite
Shumwayite,Shumwayite,[(UO_2_)(SO_4_)(H_2_O)_2_]_2_·H_2_O,U O S H,https://www.mindat.org/search.php?search=Shumwayite
Shuvalovite,Shuvalovite,K_2_(Ca_2_Na)(SO_4_)_3_F,K Ca Na S O F,https://www.mindat.org/search.php?search=Shuvalovite
Sibirskite,Sibirskite,CaH(BO_3_),Ca H B O,https://www.mindat.org/search.php?search=Sibirskite
Sicherite,Sicherite,"TlAg_2_(As,Sb)_3_S_6_",Tl Ag As Sb S,https://www.mindat.org/search.php?search=Sicherite
Sicklerite,Sicklerite,LiMn^2+^(PO_4_),Li Mn P O,https://www.mindat.org/search.php?search=Sicklerite
Siderazot,Siderazot,Fe_3_N_1.33_,Fe N,https://www.mindat.org/search.php?search=Siderazot
Siderite,Siderite,Fe(CO_3_),Fe C O,https://www.mindat.org/search.php?search=Siderite
Sideronatrite,Sideronatrite,Na_2_Fe^3+^(SO_4_)_2_(OH)·3H_2_O,Na Fe S O H,https://www.mindat.org/search.php?search=Sideronatrite
Siderophyllite,Siderophyllite,KFe^2+^_2_Al(Si_2_Al_2_)O_10_(OH)_2_,K Fe Al Si O H,https://www.mindat.org/search.php?search=Siderophyllite
Siderotil,Siderotil,Fe(SO_4_)·5H_2_O,Fe S O H,https://www.mindat.org/search.php?search=Siderotil
Sidorenkite,Sidorenkite,Na_3_Mn(PO_4_)(CO_3_),Na Mn P O C,https://www.mindat.org/search.php?search=Sidorenkite
Sidpietersite,Sidpietersite,Pb^2+^_4_(S_2_O_3_)O_2_(OH)_2_,Pb S O H,https://www.mindat.org/search.php?search=Sidpietersite
Sidwillite,Sidwillite,MoO_3_·2H_2_O,Mo O H,https://www.mindat.org/search.php?search=Sidwillite
Siegenite,Siegenite,CoNi_2_S_4_,Co Ni S,https://www.mindat.org/search.php?search=Siegenite
Sieleckiite,Sieleckiite,Cu_3_Al_4_(PO_4_)_2_(OH)_12_·2H_2_O,Cu Al P O H,https://www.mindat.org/search.php?search=Sieleckiite
Sigismundite,Sigismundite,BaFe^2+^(CaNa_2_)Fe^2+^_13_Al(PO_4_)_11_(PO_3_OH)(OH)_2_,Ba Fe Ca Na Al P O H,https://www.mindat.org/search.php?search=Sigismundite
Sigloite,Sigloite,Fe^3+^Al_2_(PO_4_)_2_(OH)_3_·7H_2_O,Fe Al P O H,https://www.mindat.org/search.php?search=Sigloite
Siidraite,Siidraite,Pb_2_Cu(OH)_2_I_3_,Pb Cu O H I,https://www.mindat.org/search.php?search=Siidraite
Silesiaite,Silesiaite,Ca_2_Fe^3+^Sn(Si_2_O_7_)(Si_2_O_6_OH),Ca Fe Sn Si O H,https://www.mindat.org/search.php?search=Silesiaite
Silhydrite,Silhydrite,Si_3_O_6_·H_2_O,Si O H,https://www.mindat.org/search.php?search=Silhydrite
Silicocarnotite,Silicocarnotite,Ca_5_[(PO_4_)(SiO_4_)](PO_4_),Ca P O Si,https://www.mindat.org/search.php?search=Silicocarnotite
Silicon,Silicon,Si,Si,https://www.mindat.org/search.php?search=Silicon
Silinaite,Silinaite,NaLiSi_2_O_5_·2H_2_O,Na Li Si O H,https://www.mindat.org/search.php?search=Silinaite
Sillénite,Sillenite,Bi_12_SiO_20_,Bi Si O,https://www.mindat.org/search.php?search=Sillenite
Sillimanite,Sillimanite,Al_2_SiO_5_,Al Si O,https://www.mindat.org/search.php?search=Sillimanite
Silver,Silver,Ag,Ag,https://www.mindat.org/search.php?search=Silver
Silvialite,Silvialite,Ca_4_Al_6_Si_6_O_24_(SO_4_),Ca Al Si O S,https://www.mindat.org/search.php?search=Silvialite
Simferite,Simferite,"Li(Mg,Fe^3+^,Mn^3+^)_2_(PO_4_)_2_",Li Mg Fe Mn P O,https://www.mindat.org/search.php?search=Simferite
Simmonsite,Simmonsite,Na_2_LiAlF_6_,Na Li Al F,https://www.mindat.org/search.php?search=Simmonsite
Simonellite,Simonellite,C_19_H_24_,C H,https://www.mindat.org/search.php?search=Simonellite
Simonite,Simonite,TlHgAs_3_S_6_,Tl Hg As S,https://www.mindat.org/search.php?search=Simonite
Simonkolleite,Simonkolleite,Zn_5_(OH)_8_Cl_2_·H_2_O,Zn O H Cl,https://www.mindat.org/search.php?search=Simonkolleite
Simplotite,Simplotite,CaV^4+^_4_O_9_·5H_2_O,Ca V O H,https://www.mindat.org/search.php?search=Simplotite
Simpsonite,Simpsonite,Al_4_Ta_3_O_13_(OH),Al Ta O H,https://www.mindat.org/search.php?search=Simpsonite
Sincosite,Sincosite,Ca(VO)_2_(PO_4_)_2_·4H_2_O,Ca V O P H,https://www.mindat.org/search.php?search=Sincosite
Sinhalite,Sinhalite,MgAl(BO_4_),Mg Al B O,https://www.mindat.org/search.php?search=Sinhalite
Sinjarite,Sinjarite,CaCl_2_·2H_2_O,Ca Cl H O,https://www.mindat.org/search.php?search=Sinjarite
Sinkankasite,Sinkankasite,Mn^2+^Al(PO_3_OH)_2_(OH)·6H_2_O,Mn Al P O H,https://www.mindat.org/search.php?search=Sinkankasite
Sinnerite,Sinnerite,Cu_6_As_4_S_9_,Cu As S,https://www.mindat.org/search.php?search=Sinnerite
Sinoite,Sinoite,Si_2_N_2_O,Si N O,https://www.mindat.org/search.php?search=Sinoite
Sitinakite,Sitinakite,KNa_2_Ti_4_Si_2_O_13_(OH)·4H_2_O,K Na Ti Si O H,https://www.mindat.org/search.php?search=Sitinakite
Siudaite,Siudaite,Na_8_(Mn^2+^_2_Na)Ca_6_Fe^3+^_3_Zr_3_NbSi_25_O_74_(OH)_2_Cl·5H_2_O,Na Mn Ca Fe Zr Nb Si O H Cl,https://www.mindat.org/search.php?search=Siudaite
Siwaqaite,Siwaqaite,Ca_6_Al_2_(CrO_4_)_3_(OH)_12_·26H_2_O,Ca Al Cr O H,https://www.mindat.org/search.php?search=Siwaqaite
Skaergaardite,Skaergaardite,PdCu,Pd Cu,https://www.mindat.org/search.php?search=Skaergaardite
Skinnerite,Skinnerite,Cu_3_SbS_3_,Cu Sb S,https://www.mindat.org/search.php?search=Skinnerite
Skippenite,Skippenite,Bi_2_Se_2_Te,Bi Se Te,https://www.mindat.org/search.php?search=Skippenite
Sklodowskite,Sklodowskite,Mg(UO_2_)_2_(SiO_3_OH)_2_·6H_2_O,Mg U O Si H,https://www.mindat.org/search.php?search=Sklodowskite
Skorpionite,Skorpionite,Ca_3_Zn_2_(PO_4_)_2_(CO_3_)(OH)_2_·H_2_O,Ca Zn P O C H,https://www.mindat.org/search.php?search=Skorpionite
Skutterudite,Skutterudite,CoAs_3_,Co As,https://www.mindat.org/search.php?search=Skutterudite
Slavíkite,Slavikite,(H_3_O)_3_Mg_6_Fe_15_(SO_4_)_21_(OH)_18_·98H_2_O,H O Mg Fe S,https://www.mindat.org/search.php?search=Slavikite
Slavkovite,Slavkovite,Cu_13_(AsO_4_)_6_(AsO_3_OH)_4_·23H_2_O,Cu As O H,https://www.mindat.org/search.php?search=Slavkovite
Slawsonite,Slawsonite,Sr(Al_2_Si_2_O_8_),Sr Al Si O,https://www.mindat.org/search.php?search=Slawsonite
Šlikite,Slikite,Zn_2_Mg(CO_3_)_2_(OH)_2_·4H_2_O,Zn Mg C O H,https://www.mindat.org/search.php?search=Slikite
Sluzhenikinite,Sluzhenikinite,Pd_15_(Sb_7-x_Sn_x_); 3 ≤ x ≤ 4,Pd Sb Sn,https://www.mindat.org/search.php?search=Sluzhenikinite
Slyudyankaite,Slyudyankaite,Na_28_Ca_4_(Si_24_Al_24_O_96_)(SO_4_)_6_(S_6_)_1/3_(CO_2_)·2H_2_O,Na Ca Si Al O S C H,https://www.mindat.org/search.php?search=Slyudyankaite
Smamite,Smamite,Ca_2_Sb(OH)_4_[H(AsO_4_)_2_]·6H_2_O,Ca Sb O H As,https://www.mindat.org/search.php?search=Smamite
Smirnite,Smirnite,Bi^3+^_2_Te^4+^O_5_,Bi Te O,https://www.mindat.org/search.php?search=Smirnite
Smirnovskite,Smirnovskite,"(Th,Ca)(PO_4_)·nH_2_O",Th Ca P O H,https://www.mindat.org/search.php?search=Smirnovskite
Smithite,Smithite,AgAsS_2_,Ag As S,https://www.mindat.org/search.php?search=Smithite
Smithsonite,Smithsonite,Zn(CO_3_),Zn C O,https://www.mindat.org/search.php?search=Smithsonite
Smolyaninovite,Smolyaninovite,Co_3_Fe^3+^_2_(AsO_4_)_4_·11H_2_O,Co Fe As O H,https://www.mindat.org/search.php?search=Smolyaninovite
Smrkovecite,Smrkovecite,Bi_2_O(OH)(PO_4_),Bi O H P,https://www.mindat.org/search.php?search=Smrkovecite
Smythite,Smythite,"(Fe,Ni)_3+x_S_4_ (x ≈ 0-0.3)",Fe Ni S,https://www.mindat.org/search.php?search=Smythite
Sobolevite,Sobolevite,Na_6_(Na_2_Ca)(NaCaMn)Na_2_Ti_2_Na_2_(TiMn)(Si_2_O_7_)_2_(PO_4_)_4_O_2_(OF)F_2_,Na Ca Mn Ti Si O P F,https://www.mindat.org/search.php?search=Sobolevite
Sobolevskite,Sobolevskite,PdBi,Pd Bi,https://www.mindat.org/search.php?search=Sobolevskite
Sodalite,Sodalite,Na_4_(Si_3_Al_3_)O_12_Cl,Na Si Al O Cl,https://www.mindat.org/search.php?search=Sodalite
Soddyite,Soddyite,(UO_2_)_2_(SiO_4_)·2H_2_O,U O Si H,https://www.mindat.org/search.php?search=Soddyite
Sofiite,Sofiite,Zn_2_(Se^4+^O_3_)Cl_2_,Zn Se O Cl,https://www.mindat.org/search.php?search=Sofiite
Sogdianite,Sogdianite,KZr_2_Li_3_Si_12_O_30_,K Zr Li Si O,https://www.mindat.org/search.php?search=Sogdianite
Söhngeite,Sohngeite,Ga(OH)_3_,Ga O H,https://www.mindat.org/search.php?search=Sohngeite
Sokolovaite,Sokolovaite,CsLi_2_AlSi_4_O_10_F_2_,Cs Li Al Si O F,https://www.mindat.org/search.php?search=Sokolovaite
Solongoite,Solongoite,Ca_2_B_3_O_4_(OH)_4_Cl,Ca B O H Cl,https://www.mindat.org/search.php?search=Solongoite
Somersetite,Somersetite,Pb_8_O(OH)_4_(CO_3_)_5_,Pb O H C,https://www.mindat.org/search.php?search=Somersetite
Sonolite,Sonolite,Mn^2+^_9_(SiO_4_)_4_(OH)_2_,Mn Si O H,https://www.mindat.org/search.php?search=Sonolite
Sonoraite,Sonoraite,Fe^3+^(Te^4+^O_3_)(OH)·H_2_O,Fe Te O H,https://www.mindat.org/search.php?search=Sonoraite
Sopcheite,Sopcheite,Ag_4_Pd_3_Te_4_,Ag Pd Te,https://www.mindat.org/search.php?search=Sopcheite
Sorbyite,Sorbyite,"Pb_9_Cu(Sb,As)_11_S_26_",Pb Cu Sb As S,https://www.mindat.org/search.php?search=Sorbyite
Sørensenite,Sorensenite,Na_4_Be_2_Sn(Si_3_O_9_)_2_·2H_2_O,Na Be Sn Si O H,https://www.mindat.org/search.php?search=Sorensenite
Sorosite,Sorosite,"Cu_1+x_(Sn,Sb)",Cu Sn Sb,https://www.mindat.org/search.php?search=Sorosite
Sosedkoite,Sosedkoite,K_5_Al_2_Ta_22_O_60_,K Al Ta O,https://www.mindat.org/search.php?search=Sosedkoite
Součekite,Soucekite,"CuPbBi(S,Se)_3_",Cu Pb Bi S Se,https://www.mindat.org/search.php?search=Soucekite
Souzalite,Souzalite,Mg_3_Al_4_(PO_4_)_4_(OH)_6_·2H_2_O,Mg Al P O H,https://www.mindat.org/search.php?search=Souzalite
Spadaite,Spadaite,MgSiO_2_(OH)_2_·H_2_O (?),Mg Si O H,https://www.mindat.org/search.php?search=Spadaite
Spaltiite,Spaltiite,Tl_2_Cu_2_As_2_S_5_,Tl Cu As S,https://www.mindat.org/search.php?search=Spaltiite
Spangolite,Spangolite,Cu_6_Al(SO_4_)(OH)_12_Cl·3H_2_O,Cu Al S O H Cl,https://www.mindat.org/search.php?search=Spangolite
Spencerite,Spencerite,Zn_4_(PO_4_)_2_(OH)_2_·3H_2_O,Zn P O H,https://www.mindat.org/search.php?search=Spencerite
Sperrylite,Sperrylite,PtAs_2_,Pt As,https://www.mindat.org/search.php?search=Sperrylite
Spertiniite,Spertiniite,Cu(OH)_2_,Cu O H,https://www.mindat.org/search.php?search=Spertiniite
Spessartine,Spessartine,Mn^2+^_3_Al_2_(SiO_4_)_3_,Mn Al Si O,https://www.mindat.org/search.php?search=Spessartine
Sphaerobertrandite,Sphaerobertrandite,Be_3_(SiO_4_)(OH)_2_,Be Si O H,https://www.mindat.org/search.php?search=Sphaerobertrandite
Sphaerobismoite,Sphaerobismoite,Bi_2_O_3_,Bi O,https://www.mindat.org/search.php?search=Sphaerobismoite
Sphalerite,Sphalerite,ZnS,Zn S,https://www.mindat.org/search.php?search=Sphalerite
Spheniscidite,Spheniscidite,(NH_4_)Fe^3+^_2_(PO_4_)_2_(OH)·2H_2_O,N H Fe P O,https://www.mindat.org/search.php?search=Spheniscidite
Spherocobaltite,Spherocobaltite,Co(CO_3_),Co C O,https://www.mindat.org/search.php?search=Spherocobaltite
Spinel,Spinel,MgAl_2_O_4_,Mg Al O,https://www.mindat.org/search.php?search=Spinel
Spionkopite,Spionkopite,Cu_39_S_28_,Cu S,https://www.mindat.org/search.php?search=Spionkopite
Spiridonovite,Spiridonovite,"(Cu_1-x_Ag_x_)_2_Te, (x≈0.4)",Cu Ag Te,https://www.mindat.org/search.php?search=Spiridonovite
Spiroffite,Spiroffite,Mn^2+^_2_Te^4+^_3_O_8_,Mn Te O,https://www.mindat.org/search.php?search=Spiroffite
Spodumene,Spodumene,LiAlSi_2_O_6_,Li Al Si O,https://www.mindat.org/search.php?search=Spodumene
Spriggite,Spriggite,Pb_3_(UO_2_)_6_O_8_(OH)_2_·3H_2_O,Pb U O H,https://www.mindat.org/search.php?search=Spriggite
Springcreekite,Springcreekite,BaV^3+^_3_(PO_4_)(PO_3_OH)(OH)_6_,Ba V P O H,https://www.mindat.org/search.php?search=Springcreekite
Spryite,Spryite,Ag_8_(As^3+^_0.5_As^5+^_0.5_)S_6_,Ag As S,https://www.mindat.org/search.php?search=Spryite
Spurrite,Spurrite,Ca_5_(SiO_4_)_2_(CO_3_),Ca Si O C,https://www.mindat.org/search.php?search=Spurrite
Srebrodolskite,Srebrodolskite,Ca_2_Fe^3+^_2_O_5_,Ca Fe O,https://www.mindat.org/search.php?search=Srebrodolskite
Šreinite,Sreinite,Pb(UO_2_)_4_(BiO)_3_(PO_4_)_2_(OH)_7_·4H_2_O,Pb U O Bi P H,https://www.mindat.org/search.php?search=Sreinite
Srilankite,Srilankite,Ti_2_ZrO_6_,Ti Zr O,https://www.mindat.org/search.php?search=Srilankite
Stalderite,Stalderite,"TlCu(Zn,Fe,Hg)_2_As_2_S_6_",Tl Cu Zn Fe Hg As S,https://www.mindat.org/search.php?search=Stalderite
Staněkite,Stanekite,Fe^3+^Mn^2+^O(PO_4_),Fe Mn O P,https://www.mindat.org/search.php?search=Stanekite
Stanevansite,Stanevansite,Mg(C_2_H_3_O_3_)_2_·2H_2_O,Mg C H O,https://www.mindat.org/search.php?search=Stanevansite
Stanfieldite,Stanfieldite,Ca_4_Mg_5_(PO_4_)_6_,Ca Mg P O,https://www.mindat.org/search.php?search=Stanfieldite
Stangersite,Stangersite,SnGeS_3_,Sn Ge S,https://www.mindat.org/search.php?search=Stangersite
Stanleyite,Stanleyite,V^4+^O(SO_4_)·6H_2_O,V O S H,https://www.mindat.org/search.php?search=Stanleyite
Stannite,Stannite,Cu_2_FeSnS_4_,Cu Fe Sn S,https://www.mindat.org/search.php?search=Stannite
Stannoidite,Stannoidite,"Cu_8_(Fe,Zn)_3_Sn_2_S_12_",Cu Fe Zn Sn S,https://www.mindat.org/search.php?search=Stannoidite
Stannopalladinite,Stannopalladinite,Pd_3_Sn_2_ (?),Pd Sn,https://www.mindat.org/search.php?search=Stannopalladinite
Starkeyite,Starkeyite,Mg(SO_4_)·4H_2_O,Mg S O H,https://www.mindat.org/search.php?search=Starkeyite
Staročeskéite,Staroceskeite,Ag_0.70_Pb_1.60_(Bi_1.35_Sb_1.35_)_Σ2.70_S_6_,Ag Pb Bi Sb S,https://www.mindat.org/search.php?search=Staroceskeite
Starovaite,Starovaite,KCu_5_O(VO_4_)_3_,K Cu O V,https://www.mindat.org/search.php?search=Starovaite
Staurolite,Staurolite,Fe^2+^_2_Al_9_Si_4_O_23_(OH),Fe Al Si O H,https://www.mindat.org/search.php?search=Staurolite
Stavelotite-(La),Stavelotite-(La),"La_3_Mn^2+^_3_Cu^2+^(Mn^3+^,Fe^3+^,Mn^4+^)_26_(Si_2_O_7_)_6_O_30_",La Mn Cu Fe Si O,https://www.mindat.org/search.php?search=Stavelotite-(La)
Steacyite,Steacyite,"K_0.3_(Na,Ca)_2_ThSi_8_O_20_",K Na Ca Th Si O,https://www.mindat.org/search.php?search=Steacyite
Steedeite,Steedeite,NaMn_2_[Si_3_BO_9_](OH)_2_,Na Mn Si B O H,https://www.mindat.org/search.php?search=Steedeite
Steenstrupine-(Ce),Steenstrupine-(Ce),Na_14_Ce_6_Mn^2+^_2_Fe^3+^_2_Zr(PO_4_)_7_Si_12_O_36_(OH)_2_·3H_2_O,Na Ce Mn Fe Zr P O Si H,https://www.mindat.org/search.php?search=Steenstrupine-(Ce)
Stefanweissite,Stefanweissite,"(Ca,REE)_2_Zr_2_(Nb,Ti)(Ti,Nb)_2_Fe^2+^O_14_",Ca REE Zr Nb Ti Fe O,https://www.mindat.org/search.php?search=Stefanweissite
Steigerite,Steigerite,Al(VO_4_)·3H_2_O,Al V O H,https://www.mindat.org/search.php?search=Steigerite
Steinhardtite,Steinhardtite,Al,Al,https://www.mindat.org/search.php?search=Steinhardtite
Steinmetzite,Steinmetzite,Zn_2_Fe^3+^(PO_4_)_2_(OH)·3H_2_O,Zn Fe P O H,https://www.mindat.org/search.php?search=Steinmetzite
Steklite,Steklite,KAl(SO_4_)_2_,K Al S O,https://www.mindat.org/search.php?search=Steklite
Stellerite,Stellerite,Ca_4_(Si_28_Al_8_)O_72_·28H_2_O,Ca Si Al O H,https://www.mindat.org/search.php?search=Stellerite
Stenhuggarite,Stenhuggarite,CaFe^3+^Sb^3+^As^3+^_2_O_7_,Ca Fe Sb As O,https://www.mindat.org/search.php?search=Stenhuggarite
Stenonite,Stenonite,Sr_2_Al(CO_3_)F_5_,Sr Al C O F,https://www.mindat.org/search.php?search=Stenonite
Stepanovite,Stepanovite,NaMgFe^3+^(C_2_O_4_)_3_·9H_2_O,Na Mg Fe C O H,https://www.mindat.org/search.php?search=Stepanovite
Stephanite,Stephanite,Ag_5_SbS_4_,Ag Sb S,https://www.mindat.org/search.php?search=Stephanite
Štěpite,Stepite,U(AsO_3_OH)_2_·4H_2_O,U As O H,https://www.mindat.org/search.php?search=Stepite
Stercorite,Stercorite,(NH_4_)Na(PO_3_OH)·4H_2_O,N H Na P O,https://www.mindat.org/search.php?search=Stercorite
Stergiouite,Stergiouite,CaZn_2_(AsO_4_)_2_·4H_2_O,Ca Zn As O H,https://www.mindat.org/search.php?search=Stergiouite
Sterlinghillite,Sterlinghillite,Mn^2+^_3_(AsO_4_)_2_·3H_2_O,Mn As O H,https://www.mindat.org/search.php?search=Sterlinghillite
Sternbergite,Sternbergite,AgFe_2_S_3_,Ag Fe S,https://www.mindat.org/search.php?search=Sternbergite
Steropesite,Steropesite,Tl_3_BiCl_6_,Tl Bi Cl,https://www.mindat.org/search.php?search=Steropesite
Sterryite,Sterryite,"Cu(Ag,Cu)_3_Pb_19_(Sb,As)_22_(As)_2_S_56_",Cu Ag Pb Sb As S,https://www.mindat.org/search.php?search=Sterryite
Stetefeldtite,Stetefeldtite,"Ag_2_Sb_2_(O,OH)_7_",Ag Sb O H,https://www.mindat.org/search.php?search=Stetefeldtite
Stetindite-(Ce),Stetindite-(Ce),Ce(SiO_4_),Ce Si O,https://www.mindat.org/search.php?search=Stetindite-(Ce)
Steudelite,Steudelite,Na_3_(K_17_Ca_7_)Ca_4_(Al_24_Si_24_O_96_)(SO_3_)_6_F_6_·4H_2_O_,Na K Ca Al Si O S F H,https://www.mindat.org/search.php?search=Steudelite
Stevensite,Stevensite,"(Ca,Na)_x_Mg_3-y_Si_4_O_10_(OH)_2_",Ca Na Mg Si O H,https://www.mindat.org/search.php?search=Stevensite
Steverustite,Steverustite,Pb^2+^_5_(OH)_5_[Cu^1+^(S^6+^O_3_S^2-^)_3_](H_2_O)_2_,Pb O H Cu S,https://www.mindat.org/search.php?search=Steverustite
Stewartite,Stewartite,Mn^2+^Fe^3+^_2_(PO_4_)_2_(OH)_2_·8H_2_O,Mn Fe P O H,https://www.mindat.org/search.php?search=Stewartite
Stibarsen,Stibarsen,SbAs,Sb As,https://www.mindat.org/search.php?search=Stibarsen
Stibiconite,Stibiconite,Sb^3+^Sb^5+^_2_O_6_(OH),Sb O H,https://www.mindat.org/search.php?search=Stibiconite
